rank,sentence,pinyin,english,original_order,complexity,frequency,similarity_penalty,similar_to,final_score
39,因为,Yīnwèi,Because.,25,16.2,99.9,0.0,1,75.12
40,但是,Dànshì,But.,34,16.2,99.9,0.0,1,75.12
41,两次,Liǎng cì,Twice.,988,16.2,99.9,0.0,1,75.11
42,起来,Qǐlai,Get up.,36,16.2,99.9,0.0,1,75.10
43,这些,Zhèxiē,These.,37,16.2,99.9,0.0,1,75.10
44,一起,Yī qǐ,Together.,728,16.2,99.9,0.0,1,75.10
45,工作,Gōngzuò,Work.,44,16.2,99.9,0.0,1,75.09
46,然后,Ránhòu,Then.,90,16.2,99.9,0.0,1,75.09
47,所有,Suǒyǒu,All.,88,16.2,99.9,0.0,1,75.09
48,希望,Xīwàng,Hope.,28,16.2,99.9,0.0,1,75.09
49,三次,Sān cì,Three times.,945,16.2,99.9,0.0,1,75.08
50,今天,Jīntiān,Today.,38,16.2,99.9,0.0,1,75.08
51,两位,Liǎng wèi,Two of you.,973,16.2,99.9,0.0,1,75.08
52,出来,Chū lái,Come out.,823,16.2,99.8,0.0,1,75.07
53,肯定,Kěndìng,Definitely.,29,16.2,99.8,0.0,1,75.06
54,为了,Wèile,For.,114,16.2,99.8,0.0,1,75.06
55,第一,Dì yī,First.,825,16.2,99.8,0.0,1,75.06
56,一些,Yīxiē,Some.,162,16.2,99.8,0.0,1,75.06
57,生活,Shēnghuó,Life.,120,16.2,99.8,0.0,1,75.05
58,医生,Yīshēng,Doctor.,79,16.2,99.8,0.0,1,75.05
59,女人,Nǚrén,Woman.,123,16.2,99.8,0.0,1,75.05
60,名字,Míngzi,Name.,17,16.2,99.8,0.0,1,75.05
61,或者,Huòzhě,Or.,226,16.2,99.8,0.0,1,75.04
62,继续,Jìxù,Continue.,11,16.2,99.8,0.0,1,75.04
63,以前？,Yǐqián?,Before?,76,16.2,99.8,0.0,1,75.03
64,可是,Kěshì,But.,115,16.2,99.8,0.0,1,75.03
65,男人,Nánrén,Man.,117,16.2,99.8,0.0,1,75.03
66,儿子,Érzi,Son.,47,16.2,99.7,0.0,1,75.02
67,是爸爸,Shì bàba,It's Dad.,946,16.5,99.9,0.0,1,75.01
68,永远,Yǒngyuǎn,Forever.,100,16.2,99.7,0.0,1,75.01
69,帮助！,Bāng zhù!,Help!,191,16.2,99.7,0.0,1,75.01
70,有人,Yǒurén,Someone is there.,77,16.2,99.7,0.0,1,75.00
71,回家,Huí jiā,Go home.,712,16.2,99.7,0.0,1,75.00
72,愿意,Yuànyì,Willing.,32,16.2,99.7,0.0,1,75.00
73,计划,Jìhuà,Plan.,95,16.2,99.7,0.0,1,75.00
74,说话,Shuō huà,Speak.,791,16.2,99.7,0.0,1,75.00
75,欢迎,Huānyíng,Welcome.,5,16.2,99.7,0.0,1,74.99
76,总是,Zǒngshì,always.,164,16.2,99.7,0.0,1,74.99
77,选择,Xuǎnzé,Choice.,67,16.2,99.7,0.0,1,74.98
78,保证,Bǎozhèng,Guarantee.,112,16.2,99.6,0.0,1,74.97
79,学校,Xuéxiào,School.,251,16.2,99.6,0.0,1,74.97
80,接受,Jiēshòu,Accept.,142,16.2,99.6,0.0,1,74.97
81,改变,Gǎibiàn,Change.,171,16.2,99.6,0.0,1,74.97
82,电影？,Diànyǐng?,Movie?,137,16.2,99.6,0.0,1,74.97
83,注意！,Zhùyì!,Watch out!,20,16.2,99.6,0.0,1,74.96
84,其实,Qíshí,Actually.,125,16.2,99.6,0.0,1,74.96
85,小心,Xiǎoxīn,Careful!,15,16.2,99.6,0.0,1,74.96
86,当时,Dāngshí,At that time.,224,16.2,99.6,0.0,1,74.96
87,只有,Zhǐyǒu,Only.,75,16.2,99.6,0.0,1,74.96
88,至少,Zhìshǎo,At least.,268,16.2,99.6,0.0,1,74.95
89,律师,Lǜshī,Lawyer.,336,16.2,99.6,0.0,1,74.95
90,妻子,Qīzi,Wife.,78,16.2,99.6,0.0,1,74.94
91,害怕,Hàipà,Scared.,19,16.2,99.6,0.0,1,74.94
92,成功,Chénggōng,Success!,86,16.2,99.6,0.0,1,74.94
93,丈夫？,Zhàngfu?,Husband?,94,16.2,99.6,0.0,1,74.93
94,慢点,Màn diǎn,Slow down.,918,16.2,99.6,0.0,1,74.93
95,生命,Shēngmìng,Life.,119,16.2,99.5,0.0,1,74.92
96,难道,Nándào,Could it be that...,118,16.2,99.5,0.0,1,74.92
97,同意,Tóngyì,Agreed.,71,16.2,99.5,0.0,1,74.92
98,眼睛,Yǎnjīng,Eyes.,61,16.2,99.5,0.0,1,74.92
99,医院,Yīyuàn,Hospital.,298,16.2,99.5,0.0,1,74.91
100,脱掉,Tuō diào,Take it off.,329,16.2,99.5,0.0,1,74.90
101,有趣,Yǒuqù,Interesting.,82,16.2,99.5,0.0,1,74.90
102,理解,Lǐjiě,Understood.,151,16.2,99.5,0.0,1,74.90
103,简单,Jiǎndān,Simple.,138,16.2,99.5,0.0,1,74.90
104,真笨,Zhēn bèn,So stupid!,438,16.2,99.5,0.0,1,74.89
105,博士,Bóshì,Doctor.,258,16.2,99.5,0.0,1,74.89
106,电视,Diànshì,TV.,310,16.2,99.5,0.0,1,74.88
107,再试试,Zài shì shi,Try again.,1981,16.5,99.7,0.0,1,74.88
108,音乐,Yīnyuè,Music.,262,16.2,99.5,0.0,1,74.88
109,昨天,Zuótiān,Yesterday.,184,16.2,99.4,0.0,1,74.87
110,乱讲,Luàn jiǎng,Nonsense!,377,16.2,99.4,0.0,1,74.87
111,突然,Tūrán,Suddenly.,344,16.2,99.4,0.0,1,74.86
112,正常,Zhèngcháng,Normal.,101,16.2,99.4,0.0,1,74.86
113,终于,Zhōngyú,Finally.,183,16.2,99.4,0.0,1,74.86
114,咖啡,Kāfēi,Coffee.,99,16.2,99.4,0.0,1,74.85
115,冷静,Lěngjìng,Calm down.,20,16.2,99.4,0.0,1,74.85
116,回答,Huídá,Answer.,63,16.2,99.4,0.0,1,74.84
117,睡觉,Shuì jiào,Sleep.,958,16.2,99.4,0.0,1,74.84
118,礼物,Lǐwù,Gift.,340,16.2,99.4,0.0,1,74.84
119,头发,Tóufa,Hair.,132,16.2,99.4,0.0,1,74.83
120,生气？,Shēng qì?,Angry?,294,16.2,99.3,0.0,1,74.82
121,否则,Fǒuzé,Otherwise.,105,16.2,99.3,0.0,1,74.82
122,这次,Zhè cì,This time.,927,16.2,99.3,0.0,1,74.80
123,跳舞,Tiàowǔ,To dance.,97,16.2,99.3,0.0,1,74.79
124,信任,Xìnrèn,Trust.,130,16.2,99.3,0.0,1,74.79
125,道歉,Dào qiàn,Apology.,346,16.2,99.3,0.0,1,74.79
126,是假的,Shì jiǎ de,It's fake.,990,17.2,99.7,0.0,1,74.70
127,一是的,Yī shì de,"Yes, it is.",1152,17.8,100.0,0.0,1,74.67
128,一什么？,Yī shénme?,A what?,544,17.8,100.0,0.0,1,74.67
129,什么人？,Shénme rén?,What kind of person?,164,17.8,100.0,0.0,1,74.67
130,有一个,Yǒu yīgè,There is one.,769,17.8,100.0,0.0,1,74.66
131,这个是,Zhège shì,This is...,642,17.8,100.0,0.0,1,74.66
132,是这个,Shì zhège,It's this one.,649,17.8,100.0,0.0,1,74.66
133,都没有,Dōu méiyǒu,There's nothing.,594,17.8,100.0,0.0,1,74.66
134,这个人,Zhège rén,This person.,647,17.8,100.0,0.0,1,74.66
135,是这里,Shì zhèli,It's here.,785,17.8,100.0,0.0,1,74.66
136,这里是,Zhè lǐ shì,This is...,1436,17.8,100.0,0.0,1,74.66
137,都可以,Dōu kě yǐ,Anything is fine.,1678,17.8,100.0,0.0,1,74.66
138,告诉她,Gàosù tā,Tell her.,724,17.8,100.0,0.0,1,74.66
139,是，先生,"Shì, xiānsheng","Yes, sir.",809,17.8,100.0,0.0,1,74.66
140,用什么？,Yòng shén me?,What should I use?,1585,17.8,100.0,0.0,1,74.66
141,没有用,Méiyǒu yòng,It's no use.,210,17.8,99.9,0.0,1,74.65
142,用这个,Yòng zhège,Use this.,790,17.8,99.9,0.0,1,74.65
143,一样的,Yīyàng de,The same.,974,17.8,99.9,0.0,1,74.64
144,所有的,Suǒ yǒu de,All the.,1944,17.8,99.9,0.0,1,74.64
145,当然是,Dāngrán shì,Of course.,668,17.8,99.9,0.0,1,74.64
146,是，当然,"Shì, dāngrán","Yes, of course.",677,17.8,99.9,0.0,1,74.64
147,当然有,Dāngrán yǒu,Of course.,664,17.8,99.9,0.0,1,74.64
148,时间到,Shíjiān dào,Time's up.,980,17.8,99.9,0.0,1,74.64
149,都一样,Dōu yīyàng,It's all the same.,982,17.8,99.9,0.0,1,74.64
150,当然想,Dāngrán xiǎng,Of course I want to.,674,17.8,99.9,0.0,1,74.64
151,又一次,Yòu yī cì,Once again.,1775,17.8,99.9,0.0,1,74.64
152,当然能,Dāng rán néng,Of course.,1978,17.8,99.9,0.0,1,74.64
153,意思是？,Yìsi shì?,What do you mean?,659,17.8,99.9,0.0,1,74.63
154,真抱歉,Zhēn bào qiàn,I'm really sorry.,937,17.8,99.9,0.0,1,74.63
155,它只是,Tā zhǐ shì,It's just.,1990,17.8,99.9,0.0,1,74.62
156,有警察,Yǒu jǐngchá,There are police.,323,17.8,99.9,0.0,1,74.61
157,真是的,Zhēn shì de,Seriously!,557,17.8,99.9,0.0,1,74.61
158,真漂亮,Zhēn piàoliang,So beautiful!,937,17.8,99.9,0.0,1,74.60
159,每个人,Měi gè rén,Everyone.,1901,17.8,99.8,0.0,1,74.59
160,真麻烦,Zhēn máfan,Such a hassle.,347,17.8,99.8,0.0,1,74.57
161,笑什么？,Xiào shénme?,What are you laughing at?,229,17.8,99.8,0.0,1,74.57
162,小心点,Xiǎoxīn diǎn,Be careful.,267,17.8,99.8,0.0,1,74.57
163,笑一个,Xiào yīgè,Smile.,849,17.8,99.8,0.0,1,74.57
164,真奇怪,Zhēn qíguài,That's strange.,339,17.8,99.8,0.0,1,74.55
165,真的是,Zhēn de shì,It really is.,1027,17.8,99.7,0.0,1,74.55
166,是真的,Shì zhēn de,It's true.,1031,17.8,99.7,0.0,1,74.55
167,真讨厌,Zhēn tǎoyàn,So annoying!,407,17.8,99.7,0.0,1,74.55
168,冷静点,Lěngjìng diǎn,Calm down!,317,17.8,99.7,0.0,1,74.51
169,认真点,Rènzhēn diǎn,Be serious.,354,17.8,99.6,0.0,1,74.47
170,交出来,Jiāo chūlái,Hand it over.,353,17.8,99.6,0.0,1,74.46
171,谢谢 谢谢,Xièxie xièxie,"Thank you, thank you.",629,18.6,99.9,0.0,1,74.39
172,妈妈 妈妈,Mā ma mā ma,Mom! Mom!,2281,18.6,99.9,0.0,1,74.36
173,是的 但是,Shì de dàn shì,"Yes, but...",2302,19.8,100.0,0.0,1,74.06
174,是的 谢谢,Shì de xièxie,"Yes, thank you.",1317,19.8,100.0,0.0,1,74.06
175,是的，妈妈,"Shì de, māma","Yes, Mom.",1865,19.8,100.0,0.0,1,74.05
176,是的 爸爸,Shì de bàba,"Yes, Dad.",1767,19.8,99.9,0.0,1,74.05
177,什么 什么,Shénme shénme,What? What?,136,19.8,100.0,0.0,1,74.04
178,没有没有,Méiyǒu méiyǒu,"No, no.",548,19.8,100.0,0.0,1,74.03
179,这里 这里,Zhèli zhèli,"Here, here.",767,19.8,99.9,0.0,1,74.02
180,先生 先生,Xiān sheng xiān sheng,"Sir, sir.",2689,19.8,99.9,0.0,1,74.01
181,起来 起来,Qǐlái qǐlái,Get up! Get up!,821,19.8,99.9,0.0,1,74.00
182,谢谢 爸爸,Xièxie bàba,"Thank you, Dad.",932,19.8,99.9,0.0,1,74.00
183,当然 当然,Dāngrán dāngrán,"Of course, of course.",670,19.8,99.9,0.0,1,73.98
184,是的，太太,"Shì de, tài tài","Yes, ma'am.",2077,19.8,99.8,0.0,1,73.98
185,回来 回来,Huílai huílai,Come back! Come back!,772,19.8,99.9,0.0,1,73.98
186,抱歉抱歉, bàoqiàn bàoqiàn,"Sorry, sorry.",243,19.8,99.8,0.0,1,73.97
187,抱歉 抱歉, bào qiàn bào qiàn,"Sorry, sorry.",1427,19.8,99.8,0.0,1,73.97
188,过来 过来,Guòlái guòlái,"Come here, come here.",900,19.8,99.8,0.0,1,73.95
189,小心 小心,Xiǎoxīn xiǎoxīn,Careful! Careful!,962,19.8,99.6,0.0,1,73.86
190,慢点 慢点,Màn diǎn màn diǎn,"Slow down, slow down.",2502,19.8,99.6,0.0,1,73.83
191,是什么人？,Shì shénme rén?,Who is it?,1204,21.0,100.0,0.0,1,73.69
192,有的时候,Yǒu de shíhòu,Sometimes.,1791,21.0,100.0,0.0,1,73.69
193,是的，先生,"Shì de, xiānsheng","Yes, sir.",1610,21.0,100.0,0.0,1,73.69
194,没有用的,Méiyǒu yòng de,It's useless.,717,21.0,100.0,0.0,1,73.68
195,是的，当然,"Shì de, dāngrán","Yes, of course.",1366,21.0,100.0,0.0,1,73.68
196,当然是的,Dāng rán shì de,Of course it is.,2656,21.0,100.0,0.0,1,73.68
197,她真漂亮,Tā zhēn piào liang,She is really beautiful.,2945,21.0,99.9,0.0,1,73.65
198,谢谢 先生,Xièxie xiānsheng,"Thank you, sir.",810,21.1,99.9,0.0,1,73.64
199,谢谢大家,Xièxie dàjiā,Thank you all.,999,21.1,99.9,0.0,1,73.61
200,试试这个,Shì shì zhège,Try this.,1352,21.1,99.7,0.0,1,73.51
201,都是假的,Dōu shì jiǎ de,It's all fake.,1470,21.3,99.8,0.0,1,73.50
202,想一想,Xiǎng yī xiǎng,Think about it.,1151,22.0,100.0,0.0,1,73.39
203,一个什么？,Yīgè shénme?,What's that?,784,22.3,100.0,0.0,1,73.29
204,没有什么,Méiyǒu shénme,There's nothing.,554,22.3,100.0,0.0,1,73.29
205,什么时候？,Shénme shíhòu?,When?,926,22.3,100.0,0.0,1,73.28
206,这里没有,Zhè lǐ méi yǒu,It's not here.,1238,22.3,100.0,0.0,1,73.28
207,但是没有,Dànshì méiyǒu,But it didn't.,338,22.3,99.9,0.0,1,73.27
208,什么东西？,Shén me dōng xi?,What is it?,2862,22.3,99.9,0.0,1,73.27
209,没有 先生,Méiyǒu xiānsheng,"No, sir.",811,22.3,99.9,0.0,1,73.27
210,怎么可能,Zěnme kěnéng,How is that possible?,261,22.3,99.9,0.0,1,73.27
211,什么时间？,Shénme shíjiān?,What time?,969,22.3,99.9,0.0,1,73.27
212,什么工作？,Shén me gōng zuò?,What kind of work?,2715,22.3,99.9,0.0,1,73.27
213,应该没有,Yīnggāi méiyǒu,There shouldn't be.,336,22.3,99.9,0.0,1,73.27
214,什么朋友？,Shén me péng yō?,What kind of friend?,1454,22.3,99.9,0.0,1,73.26
215,当然知道,Dāngrán zhīdào,Of course I know.,671,22.3,99.9,0.0,1,73.26
216,明白什么？,Míngbai shénme?,Understand what?,195,22.3,99.9,0.0,1,73.26
217,准备什么？,Zhǔnbèi shénme?,Preparing what?,967,22.3,99.9,0.0,1,73.26
218,一个朋友,Yī ge péngyō,A friend.,1900,22.3,99.9,0.0,1,73.26
219,当然没有,Dāng rán méi yǒu,Of course not.,2655,22.3,99.9,0.0,1,73.26
220,当然可以,Dāngrán kěyǐ,Of course.,708,22.3,99.9,0.0,1,73.26
221,什么意思？,Shénme yìsi?,What do you mean?,658,22.3,99.9,0.0,1,73.25
222,非常喜欢,Fēicháng xǐhuan,I like it very much.,906,22.3,99.9,0.0,1,73.25
223,离开这里,Lí kāi zhèli,Leave here.,895,22.3,99.9,0.0,1,73.24
224,抱歉，先生,"Bàoqiàn, xiānsheng","Sorry, sir.",244,22.3,99.9,0.0,1,73.24
225,最后一个,Zuì hòu yīgè,The last one.,1718,22.3,99.9,0.0,1,73.24
226,担心什么？,Dānxīn shénme?,What are you worried about?,986,22.3,99.9,0.0,1,73.24
227,过来这里,Guòlái zhèli,Come here.,903,22.3,99.9,0.0,1,73.24
228,又怎么样？,Yòu zěn me yàng?,So what?,1284,22.3,99.9,0.0,1,73.24
229,非常抱歉,Fēicháng bàoqiàn,I'm very sorry.,253,22.3,99.9,0.0,1,73.23
230,什么情况,Shénme qíngkuàng,What's going on?,316,22.3,99.9,0.0,1,73.23
231,什么麻烦？,Shénme máfan?,What's the trouble?,332,22.3,99.8,0.0,1,73.21
232,非常漂亮,Fēicháng piàoliang,Very beautiful.,940,22.3,99.8,0.0,1,73.20
233,真是抱歉,Zhēnshi bàoqiàn,I'm really sorry.,276,22.3,99.8,0.0,1,73.19
234,再近一点,Zài jìn yīdiǎn,A little closer.,1815,22.3,99.8,0.0,1,73.19
235,害怕什么？,Hàipà shénme?,What are you afraid of?,289,22.3,99.8,0.0,1,73.19
236,真的没有,Zhēn de méiyǒu,Really not.,1174,22.3,99.7,0.0,1,73.17
237,小心一点,Xiǎoxīn yīdiǎn,Be careful.,268,22.3,99.7,0.0,1,73.16
238,欢迎回家,Huānyíng huí jiā,Welcome home.,1940,22.3,99.7,0.0,1,73.15
239,真是奇怪,Zhēn shì qíguài,That's strange.,933,22.3,99.6,0.0,1,73.12
240,小心后面,Xiǎoxīn hòumiàn,Watch out behind you!,437,22.3,99.5,0.0,1,73.06
241,和我,Hé wǒ,With me.,819,13.2,100.0,16.7,31,72.71
242,我也,Wǒ yě,Me too.,585,13.2,100.0,16.7,31,72.71
243,还我,Hái wǒ,Give it back!,156,13.2,100.0,16.7,31,72.71
244,让我,Ràng wǒ,Let me.,608,13.2,100.0,16.7,31,72.71
245,我做,Wǒ zuò,I'll do it.,514,13.2,100.0,16.7,31,72.71
246,我得,Wǒ děi,I have to.,925,13.2,100.0,16.7,31,72.71
247,我呢？,Wǒ ne?,What about me?,532,13.2,100.0,16.7,31,72.70
248,做吧,Zuò ba,Do it.,511,13.2,100.0,16.7,39,72.70
249,他呢？,Tā ne?,What about him?,533,13.2,100.0,16.7,45,72.70
250,我走,Wǒ zǒu,I'm leaving.,510,13.2,100.0,16.7,31,72.70
251,上吧,Shàng ba,Go ahead.,702,13.2,100.0,16.7,46,72.70
252,我跟,Wǒ gēn,I and...,750,13.2,100.0,16.7,31,72.70
253,好，走,"Hǎo, zǒu","Okay, go.",506,13.2,100.0,16.7,41,72.70
254,听好,Tīng hǎo,Listen up!,587,13.2,100.0,16.7,41,72.70
255,走吧,Zǒu ba,Let's go.,507,13.2,100.0,16.7,46,72.70
256,找我？,Zhǎo wǒ?,Looking for me?,872,13.2,100.0,16.7,31,72.70
257,就像,Jiù xiàng,Just like.,800,13.2,100.0,16.7,35,72.70
258,而我,Ér wǒ,And I.,854,13.2,100.0,16.7,31,72.69
259,快上！,Kuài shàng!,Get in!,692,13.2,100.0,16.7,51,72.69
260,我叫,Wǒ jiào,My name is.,806,13.2,99.9,16.7,31,72.69
261,等我,Děng wǒ,Wait for me.,589,13.2,99.9,16.7,31,72.69
262,我爱,Wǒ ài,I love.,578,13.2,99.9,16.7,31,72.69
263,快走,Kuài zǒu,Go quickly!,509,13.2,99.9,16.7,49,72.69
264,等会,Děng huì,Wait a minute.,592,13.2,99.9,16.7,32,72.69
265,问我,Wèn wǒ,Ask me.,845,13.2,99.9,16.7,31,72.68
266,还行,Hái xíng,It's okay.,764,13.2,99.9,16.7,37,72.68
267,钱呢？,Qián ne?,Where's the money?,189,13.2,99.9,16.7,45,72.68
268,问他,Wèn tā,Ask him.,846,13.2,99.9,16.7,48,72.67
269,等下,Děng xià,Wait a minute.,591,13.2,99.9,16.7,69,72.67
270,问吧,Wèn ba,Ask.,844,13.2,99.9,16.7,46,72.67
271,坐好,Zuò hǎo,Sit properly.,515,13.2,99.9,16.7,41,72.66
272,喝吧,Hē ba,Drink up.,858,13.2,99.9,16.7,46,72.66
273,什么为什么？,Shénme wèishénme?,What? Why?,182,24.4,100.0,0.0,1,72.65
274,我呀,Wǒ ya,Me.,620,13.2,99.9,16.7,31,72.65
275,看呀,Kàn ya,Look!,625,13.2,99.8,16.7,78,72.64
276,走呀,Zǒu ya,Go!,621,13.2,99.8,16.7,49,72.64
277,快呀,Kuài ya,Hurry up!,173,13.2,99.8,16.7,63,72.63
278,我懂,Wǒ dǒng,I understand.,843,13.2,99.8,16.7,31,72.62
279,很久,Hěn jiǔ,A long time.,829,13.2,99.8,16.7,44,72.62
280,往下！,Wǎng xià!,Down!,361,13.2,99.7,16.7,85,72.59
281,这个是什么？,Zhège shì shénme?,What is this?,1345,24.8,100.0,0.0,1,72.56
282,什么都没有,Shénme dōu méiyǒu,There's nothing.,1260,24.8,100.0,0.0,1,72.56
283,没有人知道,Méiyǒu rén zhīdào,No one knows.,1211,24.8,100.0,0.0,1,72.56
284,一个都没有,Yīgè dōu méiyǒu,There isn't a single one.,703,24.8,100.0,0.0,1,72.56
285,是什么东西？,Shì shénme dōngxi?,What is it?,1817,24.8,100.0,0.0,1,72.56
286,是什么意思？,Shì shénme yìsi?,What does it mean?,1365,24.8,99.9,0.0,1,72.54
287,大家都知道,Dàjiā dōu zhīdào,Everyone knows.,1873,24.8,99.9,0.0,1,72.54
288,到底是什么？,Dàodǐ shì shénme?,What is it?,1888,24.8,99.9,0.0,1,72.53
289,当然是真的,Dāngrán shì zhēn de,Of course it's true.,2235,24.8,99.8,0.0,1,72.47
290,说话小心点,Shuōhuà xiǎoxīn diǎn,Watch your mouth.,980,24.8,99.8,0.0,1,72.45
291,可怜的孩子,Kělián de háizi,Poor child.,1005,24.8,99.7,0.0,1,72.44
292,会好的,Huì hǎo de,It'll be okay.,1071,17.2,100.0,12.5,32,72.32
293,那是我,Nà shì wǒ,That's me.,1056,17.2,100.0,12.5,31,72.32
294,他在那,Tā zài nà,He's over there.,1054,17.2,100.0,12.5,35,72.32
295,她好吗？,Tā hǎo ma?,Is she okay?,543,17.2,100.0,12.5,32,72.32
296,看我的,Kàn wǒ de,Watch me!,1030,17.2,100.0,12.5,31,72.32
297,那很好,Nà hěn hǎo,That's very good.,1053,17.2,100.0,12.5,35,72.32
298,都很好,Dōu hěn hǎo,Everything is good.,1257,17.2,100.0,12.5,41,72.32
299,还在吗？,Hái zài ma?,Still there?,1120,17.2,100.0,12.5,32,72.32
300,那也是,Nà yě shì,That's also true.,1240,17.2,100.0,12.5,35,72.32
301,听我的,Tīng wǒ de,Listen to me.,1246,17.2,100.0,12.5,31,72.31
302,我在听,Wǒ zài tīng,I'm listening.,1252,17.2,100.0,12.5,31,72.31
303,想看吗？,Xiǎng kàn ma?,Want to see?,1020,17.2,100.0,12.5,32,72.31
304,让他走,Ràng tā zǒu,Let him go.,1288,17.2,100.0,12.5,38,72.31
305,又是我,Yòu shì wǒ,It's me again.,1594,17.2,100.0,12.5,31,72.31
306,又是他,Yòu shì tā,It's him again.,724,17.2,100.0,12.5,48,72.31
307,我的钱,Wǒ de qián,My money.,1456,17.2,100.0,12.5,31,72.30
308,有多大？,Yǒu duō dà?,How big is it?,1615,17.2,99.9,12.5,58,72.30
309,带他走,Dài tā zǒu,Take him away.,1806,17.2,99.9,12.5,48,72.30
310,什么怎么样？,Shénme zěnmeyàng?,How's what?,747,25.7,99.9,0.0,1,72.26
311,我的脸！,Wǒ de liǎn!,My face!,1027,17.2,99.8,12.5,31,72.24
312,我的包！,Wǒ de bāo!,My bag!,1039,17.2,99.8,12.5,31,72.21
313,我们的,Wǒmen de,Ours.,521,17.8,100.0,12.5,31,72.17
314,他会的,Tā huì de,He will.,1061,17.8,100.0,12.5,32,72.17
315,我们是,Wǒmen shì,We are...,517,17.8,100.0,12.5,31,72.17
316,是我们,Wǒmen shì wǒmen,It's us.,1102,17.8,100.0,12.5,31,72.17
317,我们有,Wǒmen yǒu,We have.,516,17.8,100.0,12.5,31,72.17
318,好什么？,Hǎo shénme?,Good what?,138,17.8,100.0,12.5,41,72.17
319,还好吗？,Hái hǎo ma?,How are you?,1117,17.8,100.0,12.5,32,72.17
320,那好吧,Nà hǎo ba,Then okay.,1051,17.8,100.0,12.5,35,72.17
321,还好吧？,Hái hǎo ba?,It's okay?,1125,17.8,100.0,12.5,37,72.17
322,我没有,Wǒ méiyǒu,I don't have.,555,17.8,100.0,12.5,31,72.17
323,他没有,Tā méiyǒu,He didn't.,558,17.8,100.0,12.5,48,72.16
324,就一个,Jiù yīgè,Just one.,770,17.8,100.0,12.5,35,72.16
325,做什么？,Zuò shénme?,What are you doing?,513,17.8,100.0,12.5,39,72.16
326,我可以,Wǒ kě yǐ,I can.,1673,17.8,100.0,12.5,31,72.16
327,就这个,Jiù zhè ge,This one.,1286,17.8,100.0,12.5,35,72.16
328,这个吗？,Zhège ma?,This one?,644,17.8,100.0,12.5,32,72.16
329,怎么会,Zěnme huì,How could this be?,152,17.8,100.0,12.5,32,72.16
330,现在吗？,Xiànzài ma?,Now?,637,17.8,100.0,12.5,32,72.16
331,可以吗？,Kěyǐ ma?,Is it okay?,705,17.8,100.0,12.5,32,72.16
332,没有吧,Méiyǒu ba,"No, right?",551,17.8,100.0,12.5,46,72.16
333,告诉我,Gàosù wǒ,Tell me.,722,17.8,100.0,12.5,31,72.16
