rank,sentence,original_order,frequency,complexity,grammar,structural,similarity_penalty,similar_to,final_score
45,好 好,118,90.0,11.9,0.0,7.2,0.0,,71.40
46,什么？,2,90.0,16.2,0.0,9.7,0.0,,70.13
47,怎么？,17,89.9,16.2,0.0,9.7,0.0,,70.12
48,已经？,88,89.9,16.2,0.0,9.7,0.0,,70.11
49,开始,83,89.9,16.2,0.0,9.7,0.0,,70.11
50,知道,14,89.9,16.2,0.0,9.7,0.0,,70.10
51,时间,89,89.9,16.2,0.0,9.7,0.0,,70.10
52,喜欢,56,89.8,16.2,0.0,9.7,0.0,,70.07
53,大家,96,89.8,16.2,0.0,9.7,0.0,,70.03
54,非常,77,89.7,16.2,0.0,9.7,0.0,,70.02
55,当然,41,89.7,16.2,0.0,9.7,0.0,,70.00
56,相信,60,89.6,16.2,0.0,9.7,0.0,,69.94
57,离开,78,89.5,16.2,0.0,9.7,0.0,,69.92
58,先生,62,89.5,16.2,0.0,9.7,0.0,,69.89
59,明白,53,89.4,16.2,0.0,9.7,0.0,,69.85
60,有了,152,90.0,13.2,0.0,7.9,6.7,,69.71
61,他的,123,90.0,13.2,0.0,7.9,6.7,,69.71
62,他在,130,90.0,13.2,0.0,7.9,6.7,,69.71
63,他有,153,90.0,13.2,0.0,7.9,6.7,,69.71
64,在吗？,129,90.0,13.2,0.0,7.9,6.7,,69.71
65,会的,199,90.0,13.2,0.0,7.9,6.7,,69.71
66,有吗？,148,90.0,13.2,0.0,7.9,6.7,,69.71
67,到了,193,90.0,13.2,0.0,7.9,6.7,,69.71
68,在那,197,90.0,13.2,0.0,7.9,6.7,,69.70
69,不知道,172,90.0,17.8,0.0,10.7,0.0,,69.65
70,还不错,82,89.6,17.8,0.0,10.7,0.0,,69.47
71,是的,108,90.0,13.2,0.0,7.9,10.0,,69.05
72,是了,107,90.0,13.2,0.0,7.9,10.0,,69.05
73,我的,109,90.0,13.2,0.0,7.9,10.0,,69.05
74,我是,104,90.0,13.2,0.0,7.9,10.0,,69.05
75,我在,131,90.0,13.2,0.0,7.9,10.0,,69.05
76,我有,146,90.0,13.2,0.0,7.9,10.0,,69.05
77,你的,110,90.0,13.2,0.0,7.9,10.0,,69.05
78,你是,102,90.0,13.2,0.0,7.9,10.0,,69.05
79,你在,127,90.0,13.2,0.0,7.9,10.0,,69.05
80,他是,122,90.0,13.2,0.0,7.9,10.0,,69.05
81,在这,128,90.0,13.2,0.0,7.9,10.0,,69.05
82,你有,147,90.0,13.2,0.0,7.9,10.0,,69.05
83,是吗？,117,90.0,13.2,0.0,7.9,10.0,,69.04
84,说了,136,90.0,13.2,0.0,7.9,10.0,,69.04
85,我说,135,90.0,13.2,0.0,7.9,10.0,,69.04
86,我吗？,116,90.0,13.2,0.0,7.9,10.0,,69.04
87,你说,133,90.0,13.2,0.0,7.9,10.0,,69.04
88,你吗？,115,90.0,13.2,0.0,7.9,10.0,,69.04
89,你会,200,90.0,13.2,0.0,7.9,10.0,,69.04
90,你要,150,90.0,13.2,0.0,7.9,10.0,,69.04
91,你来,141,90.0,13.2,0.0,7.9,10.0,,69.04
92,我很,155,90.0,13.2,0.0,7.9,10.0,,69.04
93,好的,119,90.0,13.2,0.0,7.9,10.0,,69.04
94,好了,90,90.0,13.2,0.0,7.9,10.0,,69.04
95,去了,176,90.0,13.2,0.0,7.9,10.0,,69.04
96,我看,178,90.0,13.2,0.0,7.9,10.0,,69.04
97,你去,174,90.0,13.2,0.0,7.9,10.0,,69.03
98,你看,179,90.0,13.2,0.0,7.9,10.0,,69.03
99,好吗？,120,90.0,13.2,0.0,7.9,10.0,,69.03
100,看这,181,90.0,13.2,0.0,7.9,10.0,,69.03
101,那是,194,90.0,13.2,0.0,7.9,10.0,,69.03
102,那我,195,90.0,13.2,0.0,7.9,10.0,,69.03
103,你想？,143,90.0,13.2,0.0,7.9,10.0,,69.03
104,很好,154,90.0,13.2,0.0,7.9,10.0,,69.03
105,是吧,137,90.0,13.2,0.0,7.9,10.0,,69.03
106,那你,196,90.0,13.2,0.0,7.9,10.0,,69.03
107,啊 是,161,89.9,13.2,0.0,7.9,10.0,,69.02
108,我啊,157,89.9,13.2,0.0,7.9,10.0,,69.02
109,说吧,138,89.9,13.2,0.0,7.9,10.0,,69.02
110,有啊,159,89.9,13.2,0.0,7.9,10.0,,69.02
111,说啊,162,89.9,13.2,0.0,7.9,10.0,,69.02
112,来啊,158,89.9,13.2,0.0,7.9,10.0,,69.02
113,去吧,177,89.9,13.2,0.0,7.9,10.0,,69.01
114,去啊,173,89.9,13.2,0.0,7.9,10.0,,69.01
115,看啊,180,89.9,13.2,0.0,7.9,10.0,,69.01
116,快说,187,89.9,13.2,0.0,7.9,10.0,,69.01
117,快来,190,89.9,13.2,0.0,7.9,10.0,,69.01
118,没啊,164,89.9,13.2,0.0,7.9,10.0,,69.01
119,想啊,163,89.9,13.2,0.0,7.9,10.0,,69.00
120,快看,186,89.9,13.2,0.0,7.9,10.0,,69.00
121,真好,185,89.8,13.2,0.0,7.9,10.0,,68.96
122,他们,47,90.0,16.2,0.0,9.7,6.7,,68.80
123,现在,37,89.9,16.2,0.0,9.7,6.7,,68.79
124,需要,69,89.9,16.2,0.0,9.7,6.7,,68.77
125,真的？,182,89.9,16.2,0.0,9.7,6.7,,68.75
126,那个,94,89.7,16.2,0.0,9.7,6.7,,68.68
127,要什么？,151,90.0,17.8,0.0,10.7,5.0,,68.66
128,知道了,167,90.0,17.8,0.0,10.7,5.0,,68.65
129,他知道,171,89.9,17.8,0.0,10.7,5.0,,68.65
130,知道吗？,169,89.9,17.8,0.0,10.7,5.0,,68.65
131,想什么？,145,89.9,17.8,0.0,10.7,5.0,,68.65
132,她来了,243,90.0,17.2,0.0,10.3,6.7,,68.48
133,他没说,286,90.0,17.2,0.0,10.3,6.7,,68.47
134,好，来吧,241,89.9,17.2,0.0,10.3,6.7,,68.46
135,是什么？,112,90.0,17.8,0.0,10.7,6.7,,68.33
136,什么是,113,90.0,17.8,0.0,10.7,6.7,,68.33
137,我什么？,114,90.0,17.8,0.0,10.7,6.7,,68.33
138,这什么？,126,90.0,17.8,0.0,10.7,6.7,,68.33
139,说什么？,132,90.0,17.8,0.0,10.7,6.7,,68.33
140,你怎么,191,90.0,17.8,0.0,10.7,6.7,,68.32
141,怎么说？,192,90.0,17.8,0.0,10.7,6.7,,68.32
142,看什么？,183,90.0,17.8,0.0,10.7,6.7,,68.32
143,我知道,166,90.0,17.8,0.0,10.7,6.7,,68.32
144,你知道,168,89.9,17.8,0.0,10.7,6.7,,68.32
145,什么啊,156,89.9,17.8,0.0,10.7,6.7,,68.31
146,知道什么？,170,89.9,22.3,0.0,13.4,0.0,,68.27
147,我想要,260,89.7,17.8,0.0,10.7,6.7,,68.19
148,我想我?,247,90.0,16.0,0.0,9.6,10.0,,68.19
149,好，好吧,238,89.9,16.0,0.0,9.6,10.0,,68.17
150,我们,20,90.0,16.2,0.0,9.7,10.0,,68.14
151,这个,39,90.0,16.2,0.0,9.7,10.0,,68.13
152,这样,25,89.9,16.2,0.0,9.7,10.0,,68.11
153,你们,38,89.9,16.2,0.0,9.7,10.0,,68.08
154,一样,92,89.8,16.2,0.0,9.7,10.0,,68.07
155,这里,58,89.8,16.2,0.0,9.7,10.0,,68.05
156,这是,125,89.8,16.2,0.0,9.7,10.0,,68.03
157,一切,87,89.7,16.2,0.0,9.7,10.0,,68.01
158,哪里？,57,89.7,16.2,0.0,9.7,10.0,,67.99
159,有什么事？,267,89.9,21.0,0.0,12.6,4.0,,67.87
160,想知道吗？,299,89.9,21.0,0.0,12.6,4.0,,67.87
161,回来,59,89.4,16.2,0.0,9.7,10.0,,67.85
162,他说什么？,229,90.0,21.0,0.0,12.6,5.0,,67.69
163,你知道了？,294,90.0,21.0,0.0,12.6,5.0,,67.68
164,我知道你,292,90.0,21.0,0.0,12.6,5.0,,67.68
165,它是什么？,217,90.0,21.0,0.0,12.6,5.0,,67.68
166,我想知道,296,89.9,21.0,0.0,12.6,5.0,,67.67
167,知道了吧,295,89.9,21.0,0.0,12.6,5.0,,67.67
168,你知道吧,291,89.9,21.0,0.0,12.6,5.0,,67.67
169,真的 真的,387,89.9,19.8,0.0,11.9,6.7,,67.65
170,看得到吗?,400,89.9,21.0,0.0,12.6,5.0,,67.64
171,不 我不去,383,90.0,20.1,0.0,12.0,6.7,,67.63
172,好吧，我去,384,90.0,21.3,0.0,12.8,5.0,,67.58
173,来 来,140,90.0,11.9,0.0,7.2,20.0,来,67.41
174,想要什么？,264,89.7,22.3,0.0,13.4,4.0,,67.34
175,来了 来了,329,90.0,18.8,0.0,11.3,10.0,,67.34
176,来吧，来吧,326,89.9,18.8,0.0,11.3,10.0,,67.32
177,来啊，来啊,358,89.9,18.8,0.0,11.3,10.0,,67.32
178,好吧 好吧,325,89.9,18.8,0.0,11.3,10.0,,67.32
179,这是什么？,219,89.9,22.3,0.0,13.4,5.0,,67.23
180,我是的,204,90.0,17.2,0.0,10.3,13.3,,67.16
181,是我的,205,90.0,17.2,0.0,10.3,13.3,,67.16
182,是的 你,203,90.0,17.2,0.0,10.3,13.3,,67.16
183,是你的,206,90.0,17.2,0.0,10.3,13.3,,67.16
184,这是我,220,90.0,17.2,0.0,10.3,13.3,,67.16
185,我在这,226,90.0,17.2,0.0,10.3,13.3,,67.16
186,他不在,224,90.0,17.2,0.0,10.3,13.3,,67.15
187,这是你,221,90.0,17.2,0.0,10.3,13.3,,67.15
188,我说的,233,90.0,17.2,0.0,10.3,13.3,,67.15
189,你在这,227,90.0,17.2,0.0,10.3,13.3,,67.15
190,我是说,236,90.0,17.2,0.0,10.3,13.3,,67.15
191,是我吗？,211,90.0,17.2,0.0,10.3,13.3,,67.15
192,我是吗？,213,90.0,17.2,0.0,10.3,13.3,,67.15
193,他在这,225,90.0,17.2,0.0,10.3,13.3,,67.15
194,我说了,232,90.0,17.2,0.0,10.3,13.3,,67.15
195,你说的,234,90.0,17.2,0.0,10.3,13.3,,67.15
196,我有吗？,256,90.0,17.2,0.0,10.3,13.3,,67.15
197,你是说,237,90.0,17.2,0.0,10.3,13.3,,67.15
198,是你吗？,210,90.0,17.2,0.0,10.3,13.3,,67.15
199,你是吗？,212,90.0,17.2,0.0,10.3,13.3,,67.15
200,你在吗？,222,90.0,17.2,0.0,10.3,13.3,,67.15
201,你说了,235,90.0,17.2,0.0,10.3,13.3,,67.15
202,是他吗？,218,90.0,17.2,0.0,10.3,13.3,,67.15
203,他在吗？,223,90.0,17.2,0.0,10.3,13.3,,67.15
204,你有吗？,255,90.0,17.2,0.0,10.3,13.3,,67.15
205,你来了,244,90.0,17.2,0.0,10.3,13.3,,67.15
206,你要我,262,90.0,17.2,0.0,10.3,13.3,,67.15
207,你要吗？,261,90.0,17.2,0.0,10.3,13.3,,67.15
208,你来吗？,242,90.0,17.2,0.0,10.3,13.3,,67.15
209,我想是,246,90.0,17.2,0.0,10.3,13.3,,67.14
210,我是想,253,90.0,17.2,0.0,10.3,13.3,,67.14
211,我在想,254,90.0,17.2,0.0,10.3,13.3,,67.14
212,我想你,251,90.0,17.2,0.0,10.3,13.3,,67.14
213,我很好,273,90.0,17.2,0.0,10.3,13.3,,67.14
214,我没说,285,90.0,17.2,0.0,10.3,13.3,,67.14
215,你很好,274,90.0,17.2,0.0,10.3,13.3,,67.14
216,是你吧,239,90.0,17.2,0.0,10.3,13.3,,67.14
217,这很好,269,90.0,17.2,0.0,10.3,13.3,,67.14
218,我想说,250,90.0,17.2,0.0,10.3,13.3,,67.14
219,啊 是的,276,90.0,17.2,0.0,10.3,13.3,,67.14
220,你想吗？,245,90.0,17.2,0.0,10.3,13.3,,67.14
221,我是啊,279,90.0,17.2,0.0,10.3,13.3,,67.14
222,我有啊,275,90.0,17.2,0.0,10.3,13.3,,67.14
223,是你啊,283,90.0,17.2,0.0,10.3,13.3,,67.14
224,你来吧,240,90.0,17.2,0.0,10.3,13.3,,67.14
225,我很想,270,90.0,17.2,0.0,10.3,13.3,,67.14
226,你说啊,278,90.0,17.2,0.0,10.3,13.3,,67.14
227,啊 好的,277,89.9,17.2,0.0,10.3,13.3,,67.13
228,好得很,272,89.9,17.2,0.0,10.3,13.3,,67.13
229,是我,105,90.0,13.2,0.0,7.9,20.0,我是,67.05
230,是你,106,90.0,13.2,0.0,7.9,20.0,你是,67.05
231,是他,124,90.0,13.2,0.0,7.9,20.0,他是,67.05
232,看你,184,90.0,13.2,0.0,7.9,20.0,你看,67.03
233,我不是,207,90.0,17.8,0.0,10.7,13.3,,66.99
234,你不是,208,90.0,17.8,0.0,10.7,13.3,,66.99
235,不，我不知道,378,90.0,23.4,0.0,14.1,5.0,,66.96
236,是还是不是？,448,89.8,22.2,0.0,13.3,6.7,,66.91
237,真的不知道,397,89.9,24.8,0.0,14.8,3.3,,66.87
238,你想要,263,89.7,17.8,0.0,10.7,13.3,,66.86
239,他想要什么？,349,89.8,24.8,0.0,14.8,3.3,,66.80
240,我不这么想,436,89.9,24.7,0.0,14.8,4.0,,66.77
241,让我告诉你,598,89.9,24.7,0.0,14.8,4.0,,66.74
242,我去去就回,495,89.9,24.2,0.0,14.5,5.0,,66.69
243,你的什么？,209,90.0,21.0,0.0,12.6,10.0,,66.69
244,你有什么？,257,90.0,21.0,0.0,12.6,10.0,,66.69
245,我说什么？,230,90.0,21.0,0.0,12.6,10.0,,66.69
246,你说什么？,228,90.0,21.0,0.0,12.6,10.0,,66.69
247,你要什么？,258,90.0,21.0,0.0,12.6,10.0,,66.69
248,我知道的,290,90.0,21.0,0.0,12.6,10.0,,66.68
249,是 我知道,300,90.0,21.0,0.0,12.6,10.0,,66.68
250,你知道的,289,90.0,21.0,0.0,12.6,10.0,,66.68
251,你知道吗？,288,90.0,21.0,0.0,12.6,10.0,,66.68
252,你想什么？,252,90.0,21.0,0.0,12.6,10.0,,66.68
253,不，是真的,393,90.0,21.0,0.0,12.6,10.0,,66.68
254,真的是你,392,90.0,21.0,0.0,12.6,10.0,,66.68
255,是真的吗？,389,90.0,21.0,0.0,12.6,10.0,,66.68
256,你想知道？,298,89.9,21.0,0.0,12.6,10.0,,66.67
257,我想要什么？,346,89.8,24.8,0.0,14.8,4.0,,66.67
258,我知道啊,293,89.9,21.0,0.0,12.6,10.0,,66.67
259,真的很好,391,89.9,21.0,0.0,12.6,10.0,,66.66
260,为什么？,43,89.9,23.3,0.0,14.0,6.7,,66.62
261,我想要你,344,89.8,21.0,0.0,12.6,10.0,,66.60
262,是的，我有,347,90.0,21.3,0.0,12.8,10.0,,66.60
263,你是我的,302,90.0,21.3,0.0,12.8,10.0,,66.60
264,他是我的,309,90.0,21.3,0.0,12.8,10.0,,66.60
265,这是我的,311,90.0,21.3,0.0,12.8,10.0,,66.60
266,这是你的,312,90.0,21.3,0.0,12.8,10.0,,66.60
267,我说的是,324,90.0,21.3,0.0,12.8,10.0,,66.60
268,你想要吗？,343,89.8,21.0,0.0,12.6,10.0,,66.60
269,是你说的,319,90.0,21.3,0.0,12.8,10.0,,66.60
270,不，我是说,320,90.0,21.3,0.0,12.8,10.0,,66.60
271,是你的吗？,304,90.0,21.3,0.0,12.8,10.0,,66.60
272,这是你吗？,310,90.0,21.3,0.0,12.8,10.0,,66.59
273,我不去了,382,90.0,21.3,0.0,12.8,10.0,,66.59
274,你要来吗？,350,90.0,21.3,0.0,12.8,10.0,,66.59
275,我想是的,333,90.0,21.3,0.0,12.8,10.0,,66.59
276,是的，我想,334,90.0,21.3,0.0,12.8,10.0,,66.59
277,是的，很好,352,90.0,21.3,0.0,12.8,10.0,,66.59
278,我想你了,338,90.0,21.3,0.0,12.8,10.0,,66.59
279,不，我很好,356,90.0,21.3,0.0,12.8,10.0,,66.59
280,你要去吗？,381,90.0,21.3,0.0,12.8,10.0,,66.59
281,你想我吗？,337,90.0,21.3,0.0,12.8,10.0,,66.59
282,你在这啊,361,90.0,21.3,0.0,12.8,10.0,,66.58
283,我很想你,355,90.0,21.3,0.0,12.8,10.0,,66.58
284,好的 来吧,327,90.0,21.3,0.0,12.8,10.0,,66.58
285,好了，来吧,328,90.0,21.3,0.0,12.8,10.0,,66.58
286,你想去吗？,380,90.0,21.3,0.0,12.8,10.0,,66.58
287,我想是吧,339,90.0,21.3,0.0,12.8,10.0,,66.58
288,不再是了,314,89.7,21.0,0.0,12.6,10.0,,66.57
289,看来是的,394,89.7,21.0,0.0,12.6,10.0,,66.57
290,你要不要？,345,89.9,19.8,0.0,11.8,13.3,,66.37
291,我知道 我知道,368,90.0,24.2,0.0,14.5,6.7,,66.37
292,是的，是我,303,90.0,20.1,0.0,12.0,13.3,,66.31
293,是的 好的,307,90.0,20.1,0.0,12.0,13.3,,66.30
294,好的 很好,353,90.0,20.1,0.0,12.0,13.3,,66.29
295,你想不想,332,89.7,19.8,0.0,11.8,13.3,,66.27
296,这是真的,390,89.8,22.3,0.0,13.4,10.0,,66.21
297,是 是的,202,90.0,16.0,0.0,9.6,20.0,是的,66.20
298,是，我是,201,90.0,16.0,0.0,9.6,20.0,我是,66.20
299,好的 好,215,90.0,16.0,0.0,9.6,20.0,好的,66.18
300,好，很好,271,90.0,16.0,0.0,9.6,20.0,很好,66.18
301,我在说什么?,323,90.0,24.7,0.0,14.8,8.0,,65.99
302,我说什么了？,473,90.0,24.7,0.0,14.8,8.0,,65.99
303,你在说什么？,321,90.0,24.7,0.0,14.8,8.0,,65.99
304,你说了什么？,317,90.0,24.7,0.0,14.8,8.0,,65.99
305,他在说什么？,322,90.0,24.7,0.0,14.8,8.0,,65.99
306,他说了什么？,315,90.0,24.7,0.0,14.8,8.0,,65.99
307,他说什么了?,316,90.0,24.7,0.0,14.8,8.0,,65.99
308,你在等什么？,480,90.0,24.7,0.0,14.8,8.0,,65.99
309,是的，我知道,375,90.0,24.7,0.0,14.8,8.0,,65.99
310,你是知道的,369,90.0,24.7,0.0,14.8,8.0,,65.99
311,你在看什么？,388,90.0,24.7,0.0,14.8,8.0,,65.99
312,你知道我的,370,90.0,24.7,0.0,14.8,8.0,,65.99
313,你怎么来了？,499,90.0,24.7,0.0,14.8,8.0,,65.99
314,我在想什么？,341,90.0,24.7,0.0,14.8,8.0,,65.98
315,你在想什么？,340,90.0,24.7,0.0,14.8,8.0,,65.98
316,你要做什么？,472,90.0,24.7,0.0,14.8,8.0,,65.98
317,好的 知道了,377,90.0,24.7,0.0,14.8,8.0,,65.98
318,你想说什么？,335,90.0,24.7,0.0,14.8,8.0,,65.98
319,我不会说的,430,90.0,24.7,0.0,14.8,8.0,,65.98
320,你怎么想的？,498,90.0,24.7,0.0,14.8,8.0,,65.98
321,你说什么啊,360,90.0,24.7,0.0,14.8,8.0,,65.98
322,我想你知道,374,90.0,24.7,0.0,14.8,8.0,,65.98
323,你想知道吗？,372,90.0,24.7,0.0,14.8,8.0,,65.98
324,是啊，我知道,373,90.0,24.7,0.0,14.8,8.0,,65.98
325,有什么事吗？,351,89.9,24.7,0.0,14.8,8.0,,65.97
326,我不知道啊,379,89.9,24.7,0.0,14.8,8.0,,65.97
327,我很想知道,376,89.9,24.7,0.0,14.8,8.0,,65.97
328,我看到你了,423,89.9,24.7,0.0,14.8,8.0,,65.97
329,我看到他了,422,89.9,24.7,0.0,14.8,8.0,,65.97
330,那是什么啊,475,89.9,24.7,0.0,14.8,8.0,,65.97
331,那是真的吗？,425,89.9,24.7,0.0,14.8,8.0,,65.97
332,你看到了吗？,420,89.9,24.7,0.0,14.8,8.0,,65.97
333,你会看到的,428,89.9,24.7,0.0,14.8,8.0,,65.97
334,我真的爱你,464,89.9,24.7,0.0,14.8,8.0,,65.97
335,我没这么说,437,89.9,24.7,0.0,14.8,8.0,,65.97
336,你不会死的,465,89.9,24.7,0.0,14.8,8.0,,65.95
337,就是这样了,546,89.9,24.8,0.0,14.8,8.0,,65.95
338,还有什么吗？,266,89.9,24.8,0.0,14.8,8.0,,65.94
339,你真这么想？,435,89.9,24.7,0.0,14.8,8.0,,65.93
340,这是什么啊,357,89.9,24.8,0.0,14.8,8.0,,65.91
341,我怎么会知道？,551,90.0,28.0,0.0,16.8,3.3,,65.91
342,让我看看你,497,89.8,23.4,0.0,14.1,10.0,,65.90
343,我必须这么做,591,89.9,28.0,0.0,16.8,3.3,,65.88
344,你想要什么？,342,89.8,24.8,0.0,14.8,8.0,,65.87
345,这是你的吗？,401,90.0,25.4,0.0,15.2,8.0,,65.77
346,我说的对吗？,455,90.0,25.4,0.0,15.2,8.0,,65.77
347,这是给你的,466,90.0,25.4,0.0,15.2,8.0,,65.77
348,是的 我很好,407,90.0,25.4,0.0,15.2,8.0,,65.77
349,我什么也没做,468,90.0,28.5,0.0,17.1,3.3,,65.76
350,我想说的是,403,90.0,25.4,0.0,15.2,8.0,,65.76
351,我什么都没做,482,90.0,28.5,0.0,17.1,3.3,,65.76
352,你有在听吗？,479,90.0,25.4,0.0,15.2,8.0,,65.75
353,那是我的事,426,90.0,25.4,0.0,15.2,8.0,,65.75
354,你做得很好,443,90.0,25.4,0.0,15.2,8.0,,65.75
355,我很好，你呢？,452,89.9,25.4,0.0,15.2,8.0,,65.75
356,是的，我也是,467,90.0,24.2,0.0,14.5,10.0,,65.75
357,知道为什么吗？,549,89.9,28.5,0.0,17.1,3.3,,65.74
358,哦，我的天啊,490,89.8,25.4,0.0,15.2,8.0,,65.68
359,你感觉怎么样？,594,89.7,28.5,0.0,17.1,3.3,,65.64
360,是的，是的,301,90.0,18.8,0.0,11.3,20.0,是的,65.35
361,好的 好的,305,90.0,18.8,0.0,11.3,20.0,好的,65.34
362,好了，好了,306,90.0,18.8,0.0,11.3,20.0,好了,65.34
363,什么，你说什么？,318,90.0,25.5,0.0,15.3,10.0,,65.34
364,很好很好,354,90.0,18.8,0.0,11.3,20.0,很好,65.33
365,是啊是啊,359,89.9,18.8,0.0,11.3,20.0,啊 是,65.32
366,你怎么知道的？,550,90.0,28.0,0.0,16.8,6.7,,65.25
367,这不关我的事,565,89.9,28.0,0.0,16.8,6.7,,65.24
368,你想知道什么？,371,89.9,28.0,0.0,16.8,6.7,,65.24
369,你看到什么了？,421,89.9,28.0,0.0,16.8,6.7,,65.24
370,你看到了什么？,525,89.9,28.0,0.0,16.8,6.7,,65.24
371,你真的想知道？,416,89.9,28.0,0.0,16.8,6.7,,65.23
372,我说的是真的,509,90.0,27.2,0.0,16.3,8.0,,65.21
373,你想要做什么？,524,89.8,28.0,0.0,16.8,6.7,,65.18
374,你说的是什么？,402,90.0,28.5,0.0,17.1,6.7,,65.11
375,你要我说什么？,406,90.0,28.5,0.0,17.1,6.7,,65.11
376,这是我的工作,589,90.0,28.5,0.0,17.1,6.7,,65.11
377,你是做什么的？,438,90.0,28.5,0.0,17.1,6.7,,65.11
378,我就知道是你,445,90.0,28.5,0.0,17.1,6.7,,65.10
379,你在这做什么？,442,90.0,28.5,0.0,17.1,6.7,,65.10
380,我知道你会的,427,90.0,28.5,0.0,17.1,6.7,,65.10
381,我还能说什么？,461,90.0,28.5,0.0,17.1,6.7,,65.10
382,我什么也没说,470,90.0,28.5,0.0,17.1,6.7,,65.10
383,你要我做什么？,439,90.0,28.5,0.0,17.1,6.7,,65.10
384,好的 我知道了,415,90.0,28.5,0.0,17.1,6.7,,65.10
385,你是怎么做的？,441,90.0,28.5,0.0,17.1,6.7,,65.10
386,我什么都没说,483,90.0,28.5,0.0,17.1,6.7,,65.10
387,你是怎么想的?,419,90.0,28.5,0.0,17.1,6.7,,65.10
388,你要我怎么做？,440,90.0,28.5,0.0,17.1,6.7,,65.10
389,你在说什么啊？,408,90.0,28.5,0.0,17.1,6.7,,65.10
390,你知道的，对吧？,454,90.0,28.5,0.0,17.1,6.7,,65.10
391,他是这么说的,517,90.0,28.5,0.0,17.1,6.7,,65.09
392,你在说什么呢,450,90.0,28.5,0.0,17.1,6.7,,65.09
393,我想让你知道,496,90.0,28.5,0.0,17.1,6.7,,65.09
394,我知道你是谁,462,90.0,28.5,0.0,17.1,6.7,,65.09
395,你知道我是谁,552,90.0,28.5,0.0,17.1,6.7,,65.09
396,你看到他了吗?,511,90.0,28.5,0.0,17.1,6.7,,65.09
397,好吧，你知道吗？,414,89.9,28.5,0.0,17.1,6.7,,65.09
398,我可以走了吗？,563,89.9,28.5,0.0,17.1,6.7,,65.09
399,你在做什么呢？,449,89.9,28.5,0.0,17.1,6.7,,65.09
400,我是这么想的,516,89.9,28.5,0.0,17.1,6.7,,65.09
401,我也是这么想,523,89.9,28.5,0.0,17.1,6.7,,65.09
402,你在想什么呢？,451,89.9,28.5,0.0,17.1,6.7,,65.09
403,我不想失去你,596,89.6,28.0,0.0,16.8,6.7,,65.09
404,好了 我们走吧,444,89.9,28.5,0.0,17.1,6.7,,65.08
405,我可没这么说,536,89.9,28.5,0.0,17.1,6.7,,65.08
406,我不要你的钱,544,89.9,28.5,0.0,17.1,6.7,,65.08
