rank,sentence,romanization,original_order,frequency,complexity,grammar,structural,similarity,similar_to,final_score
82,哦，我而家明喇。,ngò ， ngǒjìgāamìng lāa 。,695,69.8,28.5,0.0,17.1,5.7,,55.19
83,今晚打俾我啦。,gāmmǎan dáa béi ngǒ lāa 。,897,69.6,28.5,0.0,17.1,5.7,,55.13
84,我可唔可以喊呀？,ngǒ hó m hójǐ hâam āa ？,41,73.4,31.2,0.0,18.7,11.4,,55.08
85,聽日問我啦。,tīngjatman ngǒ lāa 。,209,67.6,24.8,0.0,14.8,6.7,,55.05
86,我呢排都幾忙嚇。,ngǒ nèi pàai dōu géimòng hâak 。,802,71.0,31.6,0.0,18.9,5.0,,55.04
87,唔好侮辱我。,m hóu mǒujuk ngǒ 。,214,67.5,24.7,0.0,14.8,6.7,,55.00
88,你maj咩㗎？,něi maj mē gâa ？,388,61.5,13.2,0.0,7.9,10.0,,54.81
89,去馬啦！,hêoi mǎa lāa ！,29,63.2,17.2,0.0,10.3,8.0,,54.80
90,我坐唔定。,ngǒ zo m ding 。,348,65.6,21.3,0.0,12.8,8.0,,54.79
91,佢人工好高。,kěoi jàngūng hóu gōu 。,220,66.6,24.7,0.0,14.8,5.7,,54.74
92,你同我落嚟！,něi tùng ngǒ lok lèi ！,130,67.3,25.4,0.0,15.2,6.7,,54.72
93,你高過我。,něi gōugwô ngǒ 。,749,70.0,21.0,0.0,12.6,20.0,我高過你。,54.68
94,蕾拉好努力咁工作。,lèoi lāai hóu nǒulik gâm gūngzôk 。,958,72.1,35.3,0.0,21.2,4.0,,54.63
95,冇人可以阻止Tom。,mǒu jàn hójǐ zózí tīom 。,614,68.0,28.0,0.0,16.8,5.0,,54.61
96,滑雪好好玩㗎。,waatsyût hóu hóuwáan gâa 。,465,64.6,23.5,0.0,14.1,3.3,,54.60
97,首先，你要有樣。,sáusīn ， něi jîu jǎujoeng 。,808,68.5,28.0,0.0,16.8,6.7,,54.53
98,你去旅行去成點呀？,něi hêoi lěoihàng hêoi sìngdím āa ？,409,71.2,34.1,0.0,20.4,4.4,,54.48
99,我想嘔。,ngǒ sóeng áu 。,985,63.3,17.2,0.0,10.3,10.0,,54.48
100,係人都做到啦。,hai jàn dōu zoudôu lāa 。,453,68.6,28.5,0.0,17.1,6.7,,54.42
101,邊到有得截的？,bīndôu jǎu dāk zit dīk ？,916,67.3,28.5,0.0,17.1,3.6,,54.39
102,你妒忌。,něi dôugei 。,268,61.4,17.8,0.0,10.7,5.0,,54.37
103,你做咩喊呀？,něi zou mē hâam āa ？,450,67.9,25.4,0.0,15.2,10.0,,54.31
104,我新嚟㗎。,ngǒ sān lèi gâa 。,153,61.6,17.2,0.0,10.3,6.7,,54.30
105,你搞唔搞得掂㗎？,něi gáau m gáau dāk dim gâa ？,395,67.8,28.2,0.0,16.9,6.7,,54.09
106,我愛你。,ngǒôiněi 。,51,63.3,17.2,0.0,10.3,12.0,,54.09
107,正仆街！,zîngbukgāai ！,187,62.0,23.3,0.0,14.0,0.0,,54.04
108,我哋想知。,ngǒ dei sóeng zī 。,206,65.6,21.3,0.0,12.8,12.0,,53.99
109,太大喇。,tâaidaai lāa 。,90,60.0,17.8,0.0,10.7,3.3,,53.98
110,“一齊得唔得呀？” “得。”,“ jātcài dāk m dāk āa ？ ” “ dāk 。 ”,982,68.0,29.9,0.0,17.9,5.7,,53.90
111,收聲啊！,sāusēng âa ！,48,59.7,17.8,0.0,10.7,3.3,,53.86
112,Tom未夠大。,tīom meigâu daai 。,781,59.9,17.8,0.0,10.7,4.0,,53.82
113,我叫你點做，你就點做。,ngǒ gîu něidím zou ， něi zaudím zou 。,973,72.8,35.4,0.0,21.3,10.0,,53.77
114,開始啦。,hōicí lāa 。,8,59.7,17.8,0.0,10.7,4.0,,53.75
115,我想留喺到呀。,ngǒ sóeng làu hái dôu āa 。,568,67.6,29.5,0.0,17.7,6.0,,53.74
116,擺明啦。,báaimìng lāa 。,31,59.6,17.8,0.0,10.7,4.0,,53.70
117,你認真㗎？,něi jingzān gâa ？,987,60.0,17.8,0.0,10.7,5.0,,53.66
118,冇可能㗎。,mǒu hónàng gâa 。,277,59.2,17.8,0.0,10.7,3.3,,53.63
119,Bob係我朋友。,bīob hai ngǒ pàngjǎu 。,317,63.3,21.0,0.0,12.6,8.6,,53.61
120,你信唔信佢呀？,něi sêon m sêon kěoi āa ？,305,66.8,28.2,0.0,16.9,6.7,,53.57
121,我喊咗成晚。,ngǒ hâam zó sìngmǎan 。,883,64.5,24.7,0.0,14.8,6.7,,53.51
122,你借書。,něi zêsyū 。,267,59.5,17.8,0.0,10.7,5.0,,53.41
123,有咩幫到你呢？,jǎu mē bōngdôu něi nèi ？,171,66.6,28.5,0.0,17.1,6.7,,53.40
124,我唔妒忌你。,ngǒ m dôugei něi 。,284,64.3,24.7,0.0,14.8,6.7,,53.40
125,你好可靠。,něihóu hókâau 。,207,62.7,22.3,0.0,13.4,6.7,,53.33
126,個個都知啦。,gôgô dōu zī lāa 。,536,63.2,23.4,0.0,14.1,6.7,,53.25
127,包、剪、𢱕。,bāau 、 zín 、 dap 。,761,54.3,13.2,0.0,7.9,0.0,,53.22
128,死開啦！,séihōi lāa ！,17,59.7,17.8,0.0,10.7,6.7,,53.19
129,唔好開始住。,m hóu hōicí zyu 。,215,63.4,24.7,0.0,14.8,5.7,,53.18
130,我自己嚟㗎。,ngǒ zigéi lèi gâa 。,283,61.6,21.0,0.0,12.6,6.7,,53.18
131,我好鍾意我班朋友。,ngǒ hóu zūng jî ngǒ bāan pàngjǎu 。,410,71.0,35.1,0.0,21.1,8.9,,53.16
132,條街好暗。,tìugāai hóu âm 。,531,60.2,21.0,0.0,12.6,3.3,,53.15
133,有咩唔同呀？,jǎu mē m tùng āa ？,765,64.2,25.4,0.0,15.2,6.7,,53.15
134,望住我對眼。,mongzyu ngǒ dêoi ngǎan 。,372,62.9,24.7,0.0,14.8,5.0,,53.05
135,如果我早啲知道就好喇。,jyùgwó ngǒ zóu dī zīdou zau hóu lāa 。,863,73.7,43.1,0.0,25.8,5.0,,52.93
136,搞咩呀？,gáau mē āa ？,195,62.2,17.2,0.0,10.3,15.0,搞咩呀你？,52.93
137,我乜都冇做。,ngǒ māt dōu mǒu zou 。,540,64.1,25.4,0.0,15.2,7.5,,52.91
138,我主修生物。,ngǒ zyúsāu sāngmat 。,542,62.6,24.8,0.0,14.8,5.0,,52.90
139,食藥啦。,sikjoek lāa 。,122,59.5,17.8,0.0,10.7,8.0,,52.82
140,我喉嚨痛。,ngǒ hàulùngtûng 。,624,59.5,21.0,0.0,12.6,3.3,,52.81
141,講慢少少。,góngmaan síusíu 。,79,59.3,21.1,0.0,12.7,2.9,,52.77
142,我哋有一位教宗。,ngǒ dei jǎu jātwái gâauzūng 。,181,66.1,31.6,0.0,18.9,4.4,,52.66
143,如果你喺到就好喇。,jyùgwó něi hái dôu zau hóu lāa 。,710,69.7,36.4,0.0,21.8,6.7,,52.60
144,我決定唔去。,ngǒ kyûtding m hêoi 。,539,63.5,24.7,0.0,14.8,10.0,,52.37
145,佢哋跑得好快。,kěoi dei páau dāk hóu fâai 。,669,67.0,29.5,0.0,17.7,11.4,,52.35
146,你需要辭職。,něi sēoijîu cìzīk 。,452,63.3,24.8,0.0,14.8,10.0,,52.22
147,我陪你出去吖。,ngǒ pùi něi cēothêoi āa 。,383,63.8,28.5,0.0,17.1,5.7,,52.19
148,我覺得好大壓力。,ngǒ gôkdāk hóudaai âatlik 。,691,65.9,31.6,0.0,18.9,6.7,,52.16
149,有冇搞錯啊。,jǎu mǒu gáaucô âa 。,365,61.6,25.4,0.0,15.2,5.7,,52.02
150,你估嚇我有幾高？,něi gúhǎa ngǒ jǎu géigōu ？,581,65.9,31.6,0.0,18.9,7.5,,51.96
151,收唔收卡㗎？,sāu m sāukāa gâa ？,994,57.3,19.8,0.0,11.8,4.0,,51.93
152,我想飲水呀。,ngǒ sóeng jámséoi āa 。,369,61.3,24.8,0.0,14.8,6.7,,51.88
153,睇你㗎咋。,tái něi gâa zâa 。,353,55.8,17.2,0.0,10.3,5.0,,51.75
154,我俾你決定啦。,ngǒ béi něi kyûtding lāa 。,569,63.0,28.5,0.0,17.1,6.7,,51.63
155,你好似好忙咁。,něi hóucǐ hóu mòng gâm 。,141,62.3,27.2,0.0,16.3,6.7,,51.63
156,蕾拉又肥又樣衰。,lèoi lāai jau fèi jau joengsēoi 。,806,63.9,31.2,0.0,18.7,5.0,,51.61
157,我而家好唔得閒。,ngǒjìgāa hóu m dākhàan 。,114,64.8,31.6,0.0,18.9,6.7,,51.61
158,到你開波喇。,dôu něi hōibō lāa 。,548,59.7,24.7,0.0,14.8,4.4,,51.57
159,你嬲我呀？,něi nāu ngǒ āa ？,341,59.1,21.3,0.0,12.8,8.0,,51.56
160,你可唔可以帶我去呀？,něi hó m hójǐ dâaingǒhêoi āa ？,972,71.0,39.1,0.0,23.5,11.1,,51.55
161,我好嬲。,ngǒ hóu nāu 。,30,57.4,17.2,0.0,10.3,10.0,,51.55
162,你係我唯一嘅希望。,něi hai ngǒ wàijāt gê hēimong 。,610,66.5,35.3,0.0,21.2,6.0,,51.47
163,你想唔想食嘢呀？,něi sóeng m sóeng sik jě āa ？,475,65.7,32.3,0.0,19.4,8.6,,51.43
164,你要搵人幫手。,něi jîu wán jàn bōngsáu 。,790,62.0,28.5,0.0,17.1,5.0,,51.43
165,我完全睇唔明。,ngǒ jyùncyùn tái m mìng 。,573,63.9,28.5,0.0,17.1,10.0,,51.41
166,我會生存落去。,ngǒwúi sāngcyùn lok hêoi 。,83,61.4,28.0,0.0,16.8,4.4,,51.41
167,我食芝士。,ngǒsik zīsi 。,99,58.5,22.3,0.0,13.4,5.7,,51.40
168,你做乜喵喵叫?,něi zou māt míu míu gîu ?,577,62.7,28.2,0.0,16.9,7.5,,51.38
169,你做咩一個人呀？,něi zou mē jātgô jàn āa ？,404,66.2,32.4,0.0,19.4,10.0,,51.36
170,我心情好靚。,ngǒ sāmcìng hóulêng 。,441,61.0,24.8,0.0,14.8,8.6,,51.36
171,估下今日我撞到邊個！,gúhaa gāmjat ngǒ zong dôu bīngô ！,850,67.6,38.2,0.0,22.9,5.0,,51.35
172,我而家點做好呢？,ngǒjìgāadím zouhóu nèi ？,699,64.3,32.2,0.0,19.3,6.0,,51.27
173,我唔會令你失望。,ngǒ m wúiling něi sātmong 。,929,63.4,31.6,0.0,18.9,5.0,,51.22
174,我唔可以放棄㗎。,ngǒ m hójǐ fônghêi gâa 。,250,63.5,28.0,0.0,16.8,11.4,,51.06
175,講就容易，做就難。,góngzau jùngji ， zou zau nàan 。,823,61.9,30.3,0.0,18.2,4.0,,51.03
176,我喺度。,ngǒ hái dou 。,19,54.0,17.2,0.0,10.3,4.0,,51.03
177,越重越好。,jyutcǔng jyut hóu 。,991,55.9,19.8,0.0,11.8,5.0,,51.01
178,好心你FF少陣啦。,hóusām něi FF síuzan lāa 。,329,62.1,28.0,0.0,16.8,8.6,,50.92
179,我可唔可以抖陣呀？,ngǒ hó m hójǐ dáuzan āa ？,414,67.3,34.1,0.0,20.4,12.5,,50.91
180,就快三點喇。,zau fâai sāamdím lāa 。,443,60.0,24.7,0.0,14.8,8.6,,50.87
181,我阿哥好有錢。,ngǒ âagō hóu jǎucín 。,462,61.5,28.5,0.0,17.1,6.7,,50.86
182,瞌一陣啦。,hāp jātzan lāa 。,59,58.4,22.3,0.0,13.4,8.6,,50.81
183,我唯有係等。,ngǒ wàijǎu hai dáng 。,222,58.6,24.7,0.0,14.8,5.7,,50.76
184,阿Tom都幾重嚇。,âa tīom dōu géicǔng hâak 。,605,59.0,24.8,0.0,14.8,6.7,,50.75
185,你今晚得唔得閒呀？,něi gāmmǎan dāk m dākhàan āa ？,705,64.5,35.1,0.0,21.1,5.0,,50.70
186,我鍾意呢首歌。,ngǒ zūng jî nèi sáugō 。,310,59.8,28.5,0.0,17.1,3.6,,50.61
187,呢把遮係咪你㗎？,nèi báa zē hai mǎi něi gâa ？,804,60.3,29.5,0.0,17.7,3.6,,50.56
188,你鍾意就好喇。,něi zūng jî zau hóu lāa 。,307,62.2,29.5,0.0,17.7,8.6,,50.55
189,呢粒蘋果好酸。,nèi lāp pìnggwó hóusyūn 。,913,59.1,28.5,0.0,17.1,2.5,,50.51
190,「邊個呀？」「我呀。」,「 bīngô āa ？ 」 「 ngǒ āa 。 」,732,57.1,23.4,0.0,14.1,5.0,,50.50
191,隻材料好唔好？,zêk còilíu hóu m hóu ？,776,59.6,27.2,0.0,16.3,5.7,,50.49
192,唔好喊啦。我愛你呀。,m hóu hâam lāa 。 ngǒôiněi āa 。,848,67.5,37.7,0.0,22.6,10.0,,50.46
193,隻馬跑得好快。,zêk mǎa páau dāk hóu fâai 。,469,63.2,29.5,0.0,17.7,11.4,,50.46
194,入嚟啦！,jap lèi lāa ！,47,52.9,17.2,0.0,10.3,4.0,,50.46
195,唔好讀U啦。,m hóu duk U lāa 。,535,58.4,21.3,0.0,12.8,12.0,,50.42
196,我好鐘意音樂。,ngǒ hóu zūngjî jāmngok 。,904,59.9,28.0,0.0,16.8,5.7,,50.39
197,嗰份工人工好高。,gó fan gūngjàn gūnghóu gōu 。,487,63.5,30.3,0.0,18.2,11.4,,50.38
198,唔使擔心。,m sí dāamsām 。,76,54.7,21.0,0.0,12.6,3.3,,50.37
199,你有冇筆呀？,něi jǎu mǒu bātāa ？,358,59.5,24.7,0.0,14.8,10.0,,50.36
200,真係可惜！,zān hai hósīk ！,102,54.3,21.0,0.0,12.6,2.5,,50.33
201,我打乞嗤打到停唔到。,ngǒ dáa hāt cī dáa dôu tìng m dôu 。,853,66.5,39.2,0.0,23.5,6.0,,50.27
202,點解你中意我㗎？,dímgáai něi zūngjî ngǒ gâa ？,493,60.0,28.0,0.0,16.8,6.7,,50.25
203,我係一隻狗。,ngǒ hai jātzêk gáu 。,38,57.8,25.4,0.0,15.2,5.7,,50.16
204,邊個做架？,bīngô zougáa ？,60,54.2,21.0,0.0,12.6,3.3,,50.15
205,我好黑仔。,ngǒ hóu hākzái 。,125,56.1,21.0,0.0,12.6,8.0,,50.13
206,我可唔可以講兩句呀？,ngǒ hó m hójǐ góng lǒenggêoi āa ？,613,66.9,37.0,0.0,22.2,11.1,,50.11
207,舉個例啦。,géoi gôlai lāa 。,346,54.1,21.0,0.0,12.6,3.3,,50.09
208,我係旅客。,ngǒ hai lěoihâak 。,152,54.1,21.0,0.0,12.6,3.3,,50.07
209,阿Tom份人好樂觀。,âa tīom fan jàn hóu lokgūn 。,421,58.9,28.5,0.0,17.1,4.4,,50.00
210,我哋未食飯。,ngǒ dei mei sikfaan 。,647,57.0,24.7,0.0,14.8,5.7,,49.97
211,唔好怪佢。,m hóu gwâai kěoi 。,740,55.3,21.3,0.0,12.8,6.7,,49.91
212,過馬路啦。,gwô mǎalou lāa 。,151,56.4,22.3,0.0,13.4,8.0,,49.88
213,我可唔可以借呢張CD呀？,ngǒ hó m hójǐ zê nèi zōeng Cdī āa ？,734,67.6,39.1,0.0,23.5,11.1,,49.85
214,屌你老母！,díu něi lǒumóu ！,21,54.5,21.0,0.0,12.6,5.7,,49.82
215,屌你老母。,díu něi lǒumóu 。,124,54.5,21.0,0.0,12.6,5.7,,49.82
216,唔好上當。,m hóu sǒengdông 。,196,54.7,21.0,0.0,12.6,6.7,,49.74
217,唔好飲醉呀。,m hóu jámzêoi āa 。,213,56.5,24.7,0.0,14.8,5.7,,49.72
218,有幾難呀？,jǎu géinàan āa ？,744,54.7,21.0,0.0,12.6,6.7,,49.72
219,跟住我嚟吖。,gān zyu ngǒ lèi āa 。,534,57.3,25.4,0.0,15.2,6.7,,49.68
220,望咩呀望？,mong mē āa mong ？,992,55.3,20.1,0.0,12.0,10.0,,49.64
221,可唔可以幫嚇我呀?,hó m hójǐ bōnghâak ngǒ āa ?,257,64.7,34.1,0.0,20.4,12.5,,49.63
222,我鐘意蛋糕。,ngǒ zūngjî daangōu 。,81,55.2,24.8,0.0,14.8,2.9,,49.63
223,唔好唔開心啦。,m hóu m hōisām lāa 。,110,59.6,27.2,0.0,16.3,10.0,,49.62
224,早餐準備好未呀？,zóucāan zéonbei hóu mei āa ？,482,59.8,31.6,0.0,18.9,4.0,,49.61
225,可唔可以借俾我呀？,hó m hójǐ zê béi ngǒ āa ？,256,65.3,35.1,0.0,21.1,12.5,,49.60
226,冇人幫我。,mǒu jàn bōng ngǒ 。,625,54.6,21.3,0.0,12.8,6.7,,49.59
227,你有冇養寵物㗎？,něi jǎu mǒu jǒeng cúngmat gâa ？,680,57.9,28.0,0.0,16.8,5.0,,49.56
228,我好肚餓。,ngǒ hóu tǒu ngo 。,56,55.1,21.3,0.0,12.8,8.0,,49.56
229,蕾拉好唔開心。,lèoi lāai hóu m hōisām 。,663,59.2,28.5,0.0,17.1,7.5,,49.53
230,我鍾意呢隻狗。,ngǒ zūng jî nèi zêk gáu 。,241,58.8,29.5,0.0,17.7,5.0,,49.53
231,我同佢握咗手。,ngǒ tùng kěoi āak zó sáu 。,906,58.8,29.5,0.0,17.7,5.7,,49.41
232,唔好開窗。,m hóu hōicōeng 。,741,54.1,21.0,0.0,12.6,6.7,,49.41
233,你可以點樣幫到我？,něi hójǐ dímjóeng bōngdôu ngǒ ？,826,62.0,34.7,0.0,20.8,6.0,,49.39
234,佢同我一樣咁高。,kěoi tùng ngǒ jātjoeng gâm gōu 。,477,60.6,33.6,0.0,20.1,4.4,,49.35
235,你可唔可以講多次呀？,něi hó m hójǐ góng dōcî āa ？,846,64.5,37.9,0.0,22.8,8.0,,49.29
236,你本書喺呢度。,něi búnsyū hái nèi dou 。,394,58.6,29.5,0.0,17.7,6.0,,49.25
237,你同我講緊嘢呀？,něi tùng ngǒ gónggán jě āa ？,792,60.6,32.4,0.0,19.4,6.7,,49.23
238,唔好咁仆街啦。,m hóu gâm buk gāai lāa 。,768,59.5,29.5,0.0,17.7,8.6,,49.21
239,呢支筆係我㗎。,nèi zībāt hai ngǒ gâa 。,914,54.9,24.7,0.0,14.8,4.4,,49.18
240,我飲緊咖啡。,ngǒ jámgán gâafē 。,635,54.3,24.8,0.0,14.8,2.9,,49.15
241,佢一定要去嗰度。,kěoi jātding jîu hêoi gó dou 。,401,61.2,32.4,0.0,19.4,8.9,,49.11
242,我冇投票俾你。,ngǒ mǒu tàupîu béi něi 。,772,57.6,28.5,0.0,17.1,5.7,,49.10
243,你正仆街嚟。,něi zîngbuk gāai lèi 。,136,55.0,24.7,0.0,14.8,5.0,,49.08
244,邊度痛呀？,bīndou tûng āa ？,356,52.0,21.0,0.0,12.6,3.3,,49.04
245,佢成日都咁忙嘅。,kěoi sìngjat dōu gâm mòng gê 。,318,59.8,33.6,0.0,20.1,4.0,,49.00
246,你有冇安全套呀？,něi jǎu mǒu ōncyùntôu āa ？,679,59.9,31.6,0.0,18.9,7.5,,48.99
247,Tom會死。,tīom wúi séi 。,552,49.9,13.2,0.0,7.9,10.0,,48.99
248,我等緊佢。,ngǒ dáng gán kěoi 。,529,53.4,21.3,0.0,12.8,6.7,,48.97
249,佢好上鏡。,kěoi hóu soeng gêng 。,876,53.4,21.3,0.0,12.8,6.7,,48.97
