rank,sentence,pinyin,pinyin_corrected,pinyin_reason,english,original_order,complexity,frequency,similarity_penalty,similar_to,final_score,removed
77,选择,Xuǎnzé,xuǎn zé,needs syllable separation: 1 words for 2 chars,Choice.,67,16.2,99.7,0.0,1,74.98,
78,保证,Bǎozhèng,bǎo zhèng,needs syllable separation: 1 words for 2 chars,Guarantee.,112,16.2,99.6,0.0,1,74.97,
79,学校,Xuéxiào,xué xiào,needs syllable separation: 1 words for 2 chars,School.,251,16.2,99.6,0.0,1,74.97,
80,接受,Jiēshòu,jiē shòu,needs syllable separation: 1 words for 2 chars,Accept.,142,16.2,99.6,0.0,1,74.97,
81,改变,Gǎibiàn,gǎi biàn,needs syllable separation: 1 words for 2 chars,Change.,171,16.2,99.6,0.0,1,74.97,
82,电影？,Diànyǐng?,diàn yǐng,needs syllable separation: 1 words for 2 chars,Movie?,137,16.2,99.6,0.0,1,74.97,
83,注意！,Zhùyì!,zhù yì,needs syllable separation: 1 words for 2 chars,Watch out!,20,16.2,99.6,0.0,1,74.96,
84,其实,Qíshí,qí shí,needs syllable separation: 1 words for 2 chars,Actually.,125,16.2,99.6,0.0,1,74.96,
85,小心,Xiǎoxīn,xiǎo xīn,needs syllable separation: 1 words for 2 chars,Careful!,15,16.2,99.6,0.0,1,74.96,
86,当时,Dāngshí,dāng shí,needs syllable separation: 1 words for 2 chars,At that time.,224,16.2,99.6,0.0,1,74.96,
87,只有,Zhǐyǒu,zhǐ yǒu,needs syllable separation: 1 words for 2 chars,Only.,75,16.2,99.6,0.0,1,74.96,
88,至少,Zhìshǎo,zhì shǎo,needs syllable separation: 1 words for 2 chars,At least.,268,16.2,99.6,0.0,1,74.95,
89,律师,Lǜshī,lǜ shī,needs syllable separation: 1 words for 2 chars,Lawyer.,336,16.2,99.6,0.0,1,74.95,
90,妻子,Qīzi,qīzi,needs formatting,Wife.,78,16.2,99.6,0.0,1,74.94,
91,害怕,Hàipà,hài pà,needs syllable separation: 1 words for 2 chars,Scared.,19,16.2,99.6,0.0,1,74.94,
92,成功,Chénggōng,chéng gōng,needs syllable separation: 1 words for 2 chars,Success!,86,16.2,99.6,0.0,1,74.94,
93,丈夫？,Zhàngfu?,zhàngfu,needs formatting,Husband?,94,16.2,99.6,0.0,1,74.93,
94,慢点,Màn diǎn,màn diǎn,needs formatting,Slow down.,918,16.2,99.6,0.0,1,74.93,
95,生命,Shēngmìng,shēng mìng,needs syllable separation: 1 words for 2 chars,Life.,119,16.2,99.5,0.0,1,74.92,
96,难道,Nándào,nán dào,needs syllable separation: 1 words for 2 chars,Could it be that...,118,16.2,99.5,0.0,1,74.92,
97,同意,Tóngyì,tóng yì,needs syllable separation: 1 words for 2 chars,Agreed.,71,16.2,99.5,0.0,1,74.92,
98,眼睛,Yǎnjīng,yǎn jīng,needs syllable separation: 1 words for 2 chars,Eyes.,61,16.2,99.5,0.0,1,74.92,
99,医院,Yīyuàn,yī yuàn,needs syllable separation: 1 words for 2 chars,Hospital.,298,16.2,99.5,0.0,1,74.91,
100,脱掉,Tuō diào,tuō diào,needs formatting,Take it off.,329,16.2,99.5,0.0,1,74.90,
101,有趣,Yǒuqù,yǒu qù,needs syllable separation: 1 words for 2 chars,Interesting.,82,16.2,99.5,0.0,1,74.90,
102,理解,Lǐjiě,lǐ jiě,needs syllable separation: 1 words for 2 chars,Understood.,151,16.2,99.5,0.0,1,74.90,
103,简单,Jiǎndān,jiǎn dān,needs syllable separation: 1 words for 2 chars,Simple.,138,16.2,99.5,0.0,1,74.90,
104,真笨,Zhēn bèn,zhēn bèn,needs formatting,So stupid!,438,16.2,99.5,0.0,1,74.89,
105,博士,Bóshì,bó shì,needs syllable separation: 1 words for 2 chars,Doctor.,258,16.2,99.5,0.0,1,74.89,
106,电视,Diànshì,diàn shì,needs syllable separation: 1 words for 2 chars,TV.,310,16.2,99.5,0.0,1,74.88,
107,再试试,Zài shì shi,zài shì shi,needs formatting,Try again.,1981,16.5,99.7,0.0,1,74.88,
108,音乐,Yīnyuè,yīn yuè,needs syllable separation: 1 words for 2 chars,Music.,262,16.2,99.5,0.0,1,74.88,
109,昨天,Zuótiān,zuó tiān,needs syllable separation: 1 words for 2 chars,Yesterday.,184,16.2,99.4,0.0,1,74.87,
110,乱讲,Luàn jiǎng,luàn jiǎng,needs formatting,Nonsense!,377,16.2,99.4,0.0,1,74.87,
111,突然,Tūrán,tū rán,needs syllable separation: 1 words for 2 chars,Suddenly.,344,16.2,99.4,0.0,1,74.86,
112,正常,Zhèngcháng,zhèng cháng,needs syllable separation: 1 words for 2 chars,Normal.,101,16.2,99.4,0.0,1,74.86,
113,终于,Zhōngyú,zhōng yú,needs syllable separation: 1 words for 2 chars,Finally.,183,16.2,99.4,0.0,1,74.86,
114,咖啡,Kāfēi,kā fēi,needs syllable separation: 1 words for 2 chars,Coffee.,99,16.2,99.4,0.0,1,74.85,
115,冷静,Lěngjìng,lěng jìng,needs syllable separation: 1 words for 2 chars,Calm down.,20,16.2,99.4,0.0,1,74.85,
116,回答,Huídá,huí dá,needs syllable separation: 1 words for 2 chars,Answer.,63,16.2,99.4,0.0,1,74.84,
117,睡觉,Shuì jiào,shuì jiào,needs formatting,Sleep.,958,16.2,99.4,0.0,1,74.84,
118,礼物,Lǐwù,lǐ wù,needs syllable separation: 1 words for 2 chars,Gift.,340,16.2,99.4,0.0,1,74.84,
119,头发,Tóufa,tóufa,needs formatting,Hair.,132,16.2,99.4,0.0,1,74.83,
120,生气？,Shēng qì?,shēng qì,needs formatting,Angry?,294,16.2,99.3,0.0,1,74.82,
121,否则,Fǒuzé,fǒu zé,needs syllable separation: 1 words for 2 chars,Otherwise.,105,16.2,99.3,0.0,1,74.82,
122,这次,Zhè cì,zhè cì,needs formatting,This time.,927,16.2,99.3,0.0,1,74.80,
123,跳舞,Tiàowǔ,tiào wǔ,needs syllable separation: 1 words for 2 chars,To dance.,97,16.2,99.3,0.0,1,74.79,
124,信任,Xìnrèn,xìn rèn,needs syllable separation: 1 words for 2 chars,Trust.,130,16.2,99.3,0.0,1,74.79,
125,道歉,Dào qiàn,dào qiàn,needs formatting,Apology.,346,16.2,99.3,0.0,1,74.79,
126,是假的,Shì jiǎ de,shì jiǎ de,needs formatting,It's fake.,990,17.2,99.7,0.0,1,74.70,
127,一是的,Yī shì de,yī shì de,needs formatting,"Yes, it is.",1152,17.8,100.0,0.0,1,74.67,
128,一什么？,Yī shénme?,yī shén me,needs syllable separation: 2 words for 3 chars,A what?,544,17.8,100.0,0.0,1,74.67,
129,什么人？,Shénme rén?,shén me rén,needs syllable separation: 2 words for 3 chars,What kind of person?,164,17.8,100.0,0.0,1,74.67,
130,有一个,Yǒu yīgè,yǒu yí gè,needs syllable separation: 2 words for 3 chars,There is one.,769,17.8,100.0,0.0,1,74.66,
131,这个是,Zhège shì,zhè ge shì,needs syllable separation: 2 words for 3 chars,This is...,642,17.8,100.0,0.0,1,74.66,
132,是这个,Shì zhège,shì zhè ge,needs syllable separation: 2 words for 3 chars,It's this one.,649,17.8,100.0,0.0,1,74.66,
133,都没有,Dōu méiyǒu,dōu méi yǒu,needs syllable separation: 2 words for 3 chars,There's nothing.,594,17.8,100.0,0.0,1,74.66,
134,这个人,Zhège rén,zhè ge rén,needs syllable separation: 2 words for 3 chars,This person.,647,17.8,100.0,0.0,1,74.66,
135,是这里,Shì zhèli,shì zhè lǐ,needs syllable separation: 2 words for 3 chars,It's here.,785,17.8,100.0,0.0,1,74.66,
136,这里是,Zhè lǐ shì,zhè lǐ shì,needs formatting,This is...,1436,17.8,100.0,0.0,1,74.66,
137,都可以,Dōu kě yǐ,dōu kě yǐ,needs formatting,Anything is fine.,1678,17.8,100.0,0.0,1,74.66,
138,告诉她,Gàosù tā,gào sù tā,needs syllable separation: 2 words for 3 chars,Tell her.,724,17.8,100.0,0.0,1,74.66,
139,是，先生,"Shì, xiānsheng",shì xiān shēng,needs syllable separation: 2 words for 3 chars,"Yes, sir.",809,17.8,100.0,0.0,1,74.66,
140,用什么？,Yòng shén me?,yòng shén me,needs formatting,What should I use?,1585,17.8,100.0,0.0,1,74.66,
141,没有用,Méiyǒu yòng,méi yǒu yòng,needs syllable separation: 2 words for 3 chars,It's no use.,210,17.8,99.9,0.0,1,74.65,
142,用这个,Yòng zhège,yòng zhè ge,needs syllable separation: 2 words for 3 chars,Use this.,790,17.8,99.9,0.0,1,74.65,
143,一样的,Yīyàng de,yī yàng de,needs syllable separation: 2 words for 3 chars,The same.,974,17.8,99.9,0.0,1,74.64,
144,所有的,Suǒ yǒu de,suǒ yǒu de,needs formatting,All the.,1944,17.8,99.9,0.0,1,74.64,
145,当然是,Dāngrán shì,dāng rán shì,needs syllable separation: 2 words for 3 chars,Of course.,668,17.8,99.9,0.0,1,74.64,
146,是，当然,"Shì, dāngrán",shì dāng rán,needs syllable separation: 2 words for 3 chars,"Yes, of course.",677,17.8,99.9,0.0,1,74.64,
147,当然有,Dāngrán yǒu,dāng rán yǒu,needs syllable separation: 2 words for 3 chars,Of course.,664,17.8,99.9,0.0,1,74.64,
148,时间到,Shíjiān dào,shí jiān dào,needs syllable separation: 2 words for 3 chars,Time's up.,980,17.8,99.9,0.0,1,74.64,
149,都一样,Dōu yīyàng,dōu yī yàng,needs syllable separation: 2 words for 3 chars,It's all the same.,982,17.8,99.9,0.0,1,74.64,
150,当然想,Dāngrán xiǎng,dāng rán xiǎng,needs syllable separation: 2 words for 3 chars,Of course I want to.,674,17.8,99.9,0.0,1,74.64,
151,又一次,Yòu yī cì,yòu yī cì,needs formatting,Once again.,1775,17.8,99.9,0.0,1,74.64,
152,当然能,Dāng rán néng,dāng rán néng,needs formatting,Of course.,1978,17.8,99.9,0.0,1,74.64,
153,意思是？,Yìsi shì?,yì si shì,needs syllable separation: 2 words for 3 chars,What do you mean?,659,17.8,99.9,0.0,1,74.63,
154,真抱歉,Zhēn bào qiàn,zhēn bào qiàn,needs formatting,I'm really sorry.,937,17.8,99.9,0.0,1,74.63,
155,它只是,Tā zhǐ shì,tā zhǐ shì,needs formatting,It's just.,1990,17.8,99.9,0.0,1,74.62,
156,有警察,Yǒu jǐngchá,yǒu jǐng chá,needs syllable separation: 2 words for 3 chars,There are police.,323,17.8,99.9,0.0,1,74.61,
157,真是的,Zhēn shì de,zhēn shì de,needs formatting,Seriously!,557,17.8,99.9,0.0,1,74.61,
158,真漂亮,Zhēn piàoliang,zhēn piào liàng,needs syllable separation: 2 words for 3 chars,So beautiful!,937,17.8,99.9,0.0,1,74.60,
159,每个人,Měi gè rén,měi gè rén,needs formatting,Everyone.,1901,17.8,99.8,0.0,1,74.59,
160,真麻烦,Zhēn máfan,zhēn má fán,needs syllable separation: 2 words for 3 chars,Such a hassle.,347,17.8,99.8,0.0,1,74.57,
161,笑什么？,Xiào shénme?,xiào shén me,needs syllable separation: 2 words for 3 chars,What are you laughing at?,229,17.8,99.8,0.0,1,74.57,
162,小心点,Xiǎoxīn diǎn,xiǎo xīn diǎn,needs syllable separation: 2 words for 3 chars,Be careful.,267,17.8,99.8,0.0,1,74.57,
163,笑一个,Xiào yīgè,xiào yí gè,needs syllable separation: 2 words for 3 chars,Smile.,849,17.8,99.8,0.0,1,74.57,
164,真奇怪,Zhēn qíguài,zhēn qí guài,needs syllable separation: 2 words for 3 chars,That's strange.,339,17.8,99.8,0.0,1,74.55,
165,真的是,Zhēn de shì,zhēn de shì,needs formatting,It really is.,1027,17.8,99.7,0.0,1,74.55,
166,是真的,Shì zhēn de,shì zhēn de,needs formatting,It's true.,1031,17.8,99.7,0.0,1,74.55,
167,真讨厌,Zhēn tǎoyàn,zhēn tǎo yàn,needs syllable separation: 2 words for 3 chars,So annoying!,407,17.8,99.7,0.0,1,74.55,
168,冷静点,Lěngjìng diǎn,lěng jìng diǎn,needs syllable separation: 2 words for 3 chars,Calm down!,317,17.8,99.7,0.0,1,74.51,
169,认真点,Rènzhēn diǎn,rèn zhēn diǎn,needs syllable separation: 2 words for 3 chars,Be serious.,354,17.8,99.6,0.0,1,74.47,
170,交出来,Jiāo chūlái,jiāo chū lái,needs syllable separation: 2 words for 3 chars,Hand it over.,353,17.8,99.6,0.0,1,74.46,
171,谢谢 谢谢,Xièxie xièxie,xièxie xièxie,needs formatting,"Thank you, thank you.",629,18.6,99.9,0.0,1,74.39,
172,妈妈 妈妈,Mā ma mā ma,mā ma mā ma,needs formatting,Mom! Mom!,2281,18.6,99.9,0.0,1,74.36,
173,是的 但是,Shì de dàn shì,shì de dàn shì,needs formatting,"Yes, but...",2302,19.8,100.0,0.0,1,74.06,
174,是的 谢谢,Shì de xièxie,shì de   xiè xiè,needs syllable separation: 3 words for 4 chars,"Yes, thank you.",1317,19.8,100.0,0.0,1,74.06,
175,是的，妈妈,"Shì de, māma",shì de mā mā,needs syllable separation: 3 words for 4 chars,"Yes, Mom.",1865,19.8,100.0,0.0,1,74.05,
176,是的 爸爸,Shì de bàba,shì de   bà bà,needs syllable separation: 3 words for 4 chars,"Yes, Dad.",1767,19.8,99.9,0.0,1,74.05,
177,什么 什么,Shénme shénme,shén me   shén me,needs syllable separation: 2 words for 4 chars,What? What?,136,19.8,100.0,0.0,1,74.04,
178,没有没有,Méiyǒu méiyǒu,méi yǒu méi yǒu,needs syllable separation: 2 words for 4 chars,"No, no.",548,19.8,100.0,0.0,1,74.03,
179,这里 这里,Zhèli zhèli,zhè lǐ   zhè lǐ,needs syllable separation: 2 words for 4 chars,"Here, here.",767,19.8,99.9,0.0,1,74.02,
180,先生 先生,Xiān sheng xiān sheng,xiān sheng xiān sheng,needs formatting,"Sir, sir.",2689,19.8,99.9,0.0,1,74.01,
181,起来 起来,Qǐlái qǐlái,qǐ lái   qǐ lái,needs syllable separation: 2 words for 4 chars,Get up! Get up!,821,19.8,99.9,0.0,1,74.00,
182,谢谢 爸爸,Xièxie bàba,xiè xiè   bà bà,needs syllable separation: 2 words for 4 chars,"Thank you, Dad.",932,19.8,99.9,0.0,1,74.00,
183,当然 当然,Dāngrán dāngrán,dāng rán   dāng rán,needs syllable separation: 2 words for 4 chars,"Of course, of course.",670,19.8,99.9,0.0,1,73.98,
184,是的，太太,"Shì de, tài tài",shì de tài tài,needs formatting,"Yes, ma'am.",2077,19.8,99.8,0.0,1,73.98,
185,回来 回来,Huílai huílai,huí lái   huí lái,needs syllable separation: 2 words for 4 chars,Come back! Come back!,772,19.8,99.9,0.0,1,73.98,
186,抱歉抱歉, bàoqiàn bàoqiàn,bào qiàn bào qiàn,needs syllable separation: 2 words for 4 chars,"Sorry, sorry.",243,19.8,99.8,0.0,1,73.97,
187,抱歉 抱歉, bào qiàn bào qiàn,,,"Sorry, sorry.",1427,19.8,99.8,0.0,1,73.97,
188,过来 过来,Guòlái guòlái,guò lái   guò lái,needs syllable separation: 2 words for 4 chars,"Come here, come here.",900,19.8,99.8,0.0,1,73.95,
189,小心 小心,Xiǎoxīn xiǎoxīn,xiǎo xīn   xiǎo xīn,needs syllable separation: 2 words for 4 chars,Careful! Careful!,962,19.8,99.6,0.0,1,73.86,
190,慢点 慢点,Màn diǎn màn diǎn,màn diǎn màn diǎn,needs formatting,"Slow down, slow down.",2502,19.8,99.6,0.0,1,73.83,
191,是什么人？,Shì shénme rén?,shì shén me rén,needs syllable separation: 3 words for 4 chars,Who is it?,1204,21.0,100.0,0.0,1,73.69,
192,有的时候,Yǒu de shíhòu,yǒu de shí hòu,needs syllable separation: 3 words for 4 chars,Sometimes.,1791,21.0,100.0,0.0,1,73.69,
193,是的，先生,"Shì de, xiānsheng",shì de xiān shēng,needs syllable separation: 3 words for 4 chars,"Yes, sir.",1610,21.0,100.0,0.0,1,73.69,
194,没有用的,Méiyǒu yòng de,méi yǒu yòng de,needs syllable separation: 3 words for 4 chars,It's useless.,717,21.0,100.0,0.0,1,73.68,
195,是的，当然,"Shì de, dāngrán",shì dí dàng rán,needs syllable separation: 3 words for 4 chars,"Yes, of course.",1366,21.0,100.0,0.0,1,73.68,
196,当然是的,Dāng rán shì de,dāng rán shì de,needs formatting,Of course it is.,2656,21.0,100.0,0.0,1,73.68,
197,她真漂亮,Tā zhēn piào liang,tā zhēn piào liang,needs formatting,She is really beautiful.,2945,21.0,99.9,0.0,1,73.65,
198,谢谢 先生,Xièxie xiānsheng,xiè xiè   xiān shēng,needs syllable separation: 2 words for 4 chars,"Thank you, sir.",810,21.1,99.9,0.0,1,73.64,
199,谢谢大家,Xièxie dàjiā,xièxie dàjiā,needs formatting,Thank you all.,999,21.1,99.9,0.0,1,73.61,
200,试试这个,Shì shì zhège,shì shì zhè ge,needs syllable separation: 3 words for 4 chars,Try this.,1352,21.1,99.7,0.0,1,73.51,
201,都是假的,Dōu shì jiǎ de,dōu shì jiǎ de,needs formatting,It's all fake.,1470,21.3,99.8,0.0,1,73.50,
202,想一想,Xiǎng yī xiǎng,xiǎng yī xiǎng,needs formatting,Think about it.,1151,22.0,100.0,0.0,1,73.39,
203,一个什么？,Yīgè shénme?,yí gè shén me,needs syllable separation: 2 words for 4 chars,What's that?,784,22.3,100.0,0.0,1,73.29,
204,没有什么,Méiyǒu shénme,méi yǒu shén me,needs syllable separation: 2 words for 4 chars,There's nothing.,554,22.3,100.0,0.0,1,73.29,
205,什么时候？,Shénme shíhòu?,shén me shí hòu,needs syllable separation: 2 words for 4 chars,When?,926,22.3,100.0,0.0,1,73.28,
206,这里没有,Zhè lǐ méi yǒu,zhè lǐ méi yǒu,needs formatting,It's not here.,1238,22.3,100.0,0.0,1,73.28,
207,但是没有,Dànshì méiyǒu,dàn shì méi yǒu,needs syllable separation: 2 words for 4 chars,But it didn't.,338,22.3,99.9,0.0,1,73.27,
208,什么东西？,Shén me dōng xi?,shén me dōng xi,needs formatting,What is it?,2862,22.3,99.9,0.0,1,73.27,
209,没有 先生,Méiyǒu xiānsheng,méi yǒu   xiān shēng,needs syllable separation: 2 words for 4 chars,"No, sir.",811,22.3,99.9,0.0,1,73.27,
210,怎么可能,Zěnme kěnéng,zěn me kě néng,needs syllable separation: 2 words for 4 chars,How is that possible?,261,22.3,99.9,0.0,1,73.27,
211,什么时间？,Shénme shíjiān?,shén me shí jiān,needs syllable separation: 2 words for 4 chars,What time?,969,22.3,99.9,0.0,1,73.27,
212,什么工作？,Shén me gōng zuò?,shén me gōng zuò,needs formatting,What kind of work?,2715,22.3,99.9,0.0,1,73.27,
213,应该没有,Yīnggāi méiyǒu,yīng gāi méi yǒu,needs syllable separation: 2 words for 4 chars,There shouldn't be.,336,22.3,99.9,0.0,1,73.27,
214,什么朋友？,Shén me péng yō?,shén me péng yō,needs formatting,What kind of friend?,1454,22.3,99.9,0.0,1,73.26,
215,当然知道,Dāngrán zhīdào,dāng rán zhī dào,needs syllable separation: 2 words for 4 chars,Of course I know.,671,22.3,99.9,0.0,1,73.26,
216,明白什么？,Míngbai shénme?,míng bái shén me,needs syllable separation: 2 words for 4 chars,Understand what?,195,22.3,99.9,0.0,1,73.26,
217,准备什么？,Zhǔnbèi shénme?,zhǔn bèi shén me,needs syllable separation: 2 words for 4 chars,Preparing what?,967,22.3,99.9,0.0,1,73.26,
218,一个朋友,Yī ge péngyō,yí gè péng yǒu,needs syllable separation: 3 words for 4 chars,A friend.,1900,22.3,99.9,0.0,1,73.26,
219,当然没有,Dāng rán méi yǒu,dāng rán méi yǒu,needs formatting,Of course not.,2655,22.3,99.9,0.0,1,73.26,
