rank,sentence,original_order,frequency,complexity,grammar,structural,similarity,similar_to,final_score
37,Qui t'a envoyé ?<br><br><br>,916,99.8,19.4,3.0,12.9,2.9,,74.83
38,La vie est belle.<br><br><br>,276,99.9,21.3,0.0,12.8,3.3,,74.82
39,Je mange ici.<br><br><br>,422,99.5,18.8,0.0,11.3,5.0,,74.82
40,J'ai du temps.<br><br><br>,331,100.0,18.5,0.0,11.1,6.7,,74.77
41,Je déteste ça.<br><br><br>,193,99.5,20.0,0.0,12.0,4.0,,74.77
42,Si vous le dites.<br><br><br>,543,99.8,21.3,0.0,12.8,3.3,,74.75
43,J'ai des yeux.<br><br><br>,588,99.9,18.5,0.0,11.1,6.7,,74.75
44,Tu n'es pas fou.<br><br><br>,770,99.8,20.0,0.0,12.0,5.0,,74.74
45,Cela va sans dire.<br><br><br>,369,99.9,22.3,0.0,13.4,2.9,,74.72
46,Elle est bonne.<br><br><br>,130,100.0,21.2,0.0,12.8,4.0,,74.72
47,Trouve le chat.<br><br><br>,508,99.7,21.2,0.0,12.8,3.3,,74.72
48,À qui de droit.<br><br><br>,871,100.0,19.4,3.0,12.9,4.0,,74.68
49,Je compte sur toi.<br><br><br>,356,99.9,22.3,0.0,13.4,3.3,,74.63
50,Il me faut savoir.<br><br><br>,236,99.9,22.3,0.0,13.4,3.3,,74.63
51,Ne t'en fais pas !<br><br><br>,265,100.0,20.8,0.0,12.4,5.0,,74.63
52,Que fait ton père ?<br><br><br>,14,99.9,22.3,0.0,13.4,3.3,,74.62
53,Ne me le dis pas.<br><br><br>,63,100.0,20.8,0.0,12.4,5.0,,74.62
54,Vous êtes bons.<br><br><br>,983,99.7,21.2,0.0,12.8,4.0,,74.62
55,Ça va être facile.<br><br><br>,952,99.9,22.3,0.0,13.4,3.3,,74.60
56,C'est comme ça.<br><br><br>,162,100.0,19.4,0.0,11.7,6.7,,74.58
57,C'est pour toi.<br><br><br>,113,100.0,19.4,0.0,11.7,6.7,,74.58
58,C'est un livre.<br><br><br>,128,99.9,19.4,0.0,11.7,6.7,,74.55
59,Soyez vu par moi !<br><br><br>,157,99.6,21.3,0.0,12.8,4.0,,74.54
60,Soyez un homme !<br><br><br>,224,99.5,21.2,0.0,12.8,4.0,,74.51
61,Ta voix porte bien.<br><br><br>,740,99.8,23.2,0.0,13.9,2.9,,74.48
62,C'est loin d'ici ?<br><br><br>,857,99.9,20.8,0.0,12.4,5.7,,74.47
63,J'ai mal au cœur.<br><br><br>,877,99.9,20.8,0.0,12.4,5.7,,74.45
64,Il avait une fille.<br><br><br>,182,99.9,23.2,0.0,13.9,3.3,,74.43
65,Soyez gentil !<br><br><br>,856,98.6,23.5,0.0,14.1,0.0,,74.43
66,Tu dis toujours ça.<br><br><br>,250,99.9,23.2,0.0,13.9,3.3,,74.43
67,Je t'aime vraiment.<br><br><br>,953,99.9,23.2,0.0,13.9,3.3,,74.43
68,Faites du bruit !<br><br><br>,864,99.6,22.5,0.0,13.5,3.3,,74.42
69,Quel est votre nom ?<br><br><br>,241,99.9,23.2,0.0,13.9,3.3,,74.41
70,Elle te regarde.<br><br><br>,584,99.8,22.5,0.0,13.5,4.0,,74.41
71,Il me faut changer.<br><br><br>,606,99.9,23.2,0.0,13.9,3.3,,74.40
72,Elles m'en ont parlé.<br><br><br>,735,99.8,23.9,0.0,14.3,2.5,,74.39
73,Il sera bientôt là.<br><br><br>,368,99.8,23.2,0.0,13.9,3.3,,74.39
74,J'ai pensé à toi.<br><br><br>,441,99.8,20.8,0.0,12.4,5.7,,74.39
75,Ça n'a pas de sens.<br><br><br>,50,100.0,22.4,0.0,13.5,4.4,,74.38
76,C'est bien fait.<br><br><br>,88,100.0,20.4,0.0,12.2,6.7,,74.38
77,De quoi ça a l'air ?<br><br><br>,13,99.9,22.4,0.0,13.5,4.4,,74.38
78,Nous aussi nous sommes là.<br><br><br>,108,99.9,26.6,0.0,16.0,0.0,,74.37
79,J'ai une maison.<br><br><br>,347,99.9,20.4,0.0,12.2,6.7,,74.37
80,Où se trouve l'école ?<br><br><br>,400,99.9,23.9,0.0,14.3,2.9,,74.36
81,Tu fais trop la fête.<br><br><br>,413,99.8,23.9,0.0,14.3,2.9,,74.33
82,Je dois la voir !<br><br><br>,10,99.9,20.4,0.0,12.2,6.7,,74.33
83,Je dois y aller.<br><br><br>,83,99.9,20.4,0.0,12.2,6.7,,74.32
84,Il n'est plus ici.<br><br><br>,28,100.0,21.5,0.0,12.9,5.7,,74.32
85,Il a peu d'argent.<br><br><br>,309,99.9,21.5,0.0,12.9,5.7,,74.31
86,Le temps passe vite.<br><br><br>,646,99.9,24.2,0.0,14.5,2.9,,74.30
87,Il n'a rien fait.<br><br><br>,70,100.0,20.8,0.0,12.4,6.7,,74.30
88,Je parle de mon amie.<br><br><br>,391,99.7,23.9,0.0,14.3,2.9,,74.29
89,J'ai eu votre âge.<br><br><br>,748,99.9,21.5,0.0,12.9,5.7,,74.28
90,Le film commence.<br><br><br>,883,99.8,23.7,0.0,14.2,3.3,,74.28
91,J'ai dû en sortir.<br><br><br>,522,99.8,21.5,0.0,12.9,5.7,,74.26
92,Regarde cette femme là !<br><br><br>,384,99.9,27.0,0.0,16.2,0.0,,74.26
93,Il me fit attendre.<br><br><br>,671,99.5,23.2,0.0,13.9,3.3,,74.25
94,Je ne savais pas.<br><br><br>,277,99.7,21.3,0.0,12.8,5.7,,74.25
95,Tu y as réussi !<br><br><br>,430,99.8,19.4,0.0,11.7,8.0,,74.23
96,Il était déjà parti.<br><br><br>,474,99.9,24.2,0.0,14.5,3.3,,74.22
97,Tout le monde le pense.<br><br><br>,32,100.0,24.3,0.0,14.6,3.3,,74.22
98,Nous y avons tous été.<br><br><br>,110,99.9,24.7,0.0,14.8,2.9,,74.21
99,Le vélo est à moi.<br><br><br>,288,99.7,21.5,0.0,12.9,5.7,,74.20
100,Il était très vieux.<br><br><br>,171,99.9,24.2,0.0,14.5,3.3,,74.20
101,Tu sais où me trouver.<br><br><br>,293,99.9,24.7,0.0,14.8,2.9,,74.20
102,Cet homme a une boîte.<br><br><br>,524,99.8,24.7,0.0,14.8,2.5,,74.20
103,Et si elle a tort ?<br><br><br>,829,99.7,21.5,0.0,12.9,5.7,,74.20
104,Ça fait plus d'un mois.<br><br><br>,821,100.0,25.2,0.0,15.1,2.5,,74.20
105,Je lui dis bonne nuit.<br><br><br>,393,99.9,24.7,0.0,14.8,2.9,,74.19
106,Elle était jeune.<br><br><br>,513,99.9,23.7,0.0,14.2,4.0,,74.19
107,Il a l'air gentil.<br><br><br>,404,99.7,21.5,0.0,12.9,5.7,,74.19
108,Il court devant moi.<br><br><br>,777,99.8,24.2,0.0,14.5,3.3,,74.17
109,C'est le dernier.<br><br><br>,965,100.0,21.3,0.0,12.8,6.7,,74.17
110,La musique te plaît ?<br><br><br>,815,99.6,24.2,0.0,14.5,2.9,,74.17
111,Il me fallait te voir.<br><br><br>,664,99.8,24.7,0.0,14.8,2.9,,74.16
112,Il veut parler.<br><br><br>,275,99.9,21.2,0.0,12.8,6.7,,74.16
113,Peu reste à dire.<br><br><br>,528,99.9,21.3,0.0,12.8,6.7,,74.16
114,"Non, c'est tout.<br><br><br>",469,100.0,19.4,3.0,12.9,6.7,,74.16
115,Son fils est malade.<br><br><br>,914,99.7,24.2,0.0,14.5,3.3,,74.15
116,C'est vous la chef.<br><br><br>,980,99.9,22.3,0.0,13.4,5.7,,74.14
117,Tout le monde y gagne.<br><br><br>,648,99.8,24.7,0.0,14.8,2.9,,74.14
118,Plutôt lui que moi.<br><br><br>,339,99.9,23.2,2.0,14.7,3.3,,74.14
119,Allons en voyage.<br><br><br>,942,99.5,23.7,0.0,14.2,3.3,,74.14
120,Elle a l'air jeune.<br><br><br>,343,99.9,22.3,0.0,13.4,5.7,,74.13
121,Ils en sont presque là.<br><br><br>,229,99.9,25.5,0.0,15.3,2.5,,74.11
122,Tu as un beau nom.<br><br><br>,237,99.9,21.5,0.0,12.9,6.7,,74.10
123,Combien plus loin ?<br><br><br>,758,99.7,24.9,0.0,14.9,2.9,,74.09
124,Il y travaille.<br><br><br>,232,99.7,21.2,0.0,12.8,6.7,,74.09
125,Tu parles ma langue.<br><br><br>,699,99.6,24.2,0.0,14.5,3.3,,74.09
126,Où est le livre ?<br><br><br>,45,99.9,20.4,0.0,12.2,8.0,,74.08
127,Tout le monde le dit.<br><br><br>,47,100.0,22.7,0.0,13.6,5.7,,74.08
128,Nous l'avons tous fait.<br><br><br>,587,99.9,25.5,0.0,15.3,2.9,,74.05
129,Elle avait l'air seule.<br><br><br>,575,99.9,25.5,0.0,15.3,2.9,,74.03
130,Mon vélo est ici.<br><br><br>,526,99.6,21.3,0.0,12.8,6.7,,74.02
131,Je sais déjà.<br><br><br>,140,99.9,18.8,0.0,11.3,10.0,,74.01
132,À qui est ce sac ?<br><br><br>,134,99.8,20.8,3.0,13.6,5.7,,74.00
133,Vous avez de la visite.<br><br><br>,632,99.8,25.5,0.0,15.3,2.9,,74.00
134,Vous avez un message.<br><br><br>,938,99.8,25.1,0.0,15.1,3.3,,73.99
135,Quel est votre poste ?<br><br><br>,824,99.8,25.1,0.0,15.1,3.3,,73.98
136,J'y ai beaucoup été.<br><br><br>,924,100.0,23.1,0.0,13.9,5.7,,73.98
137,Je le fais pour eux.<br><br><br>,907,99.9,23.1,0.0,13.9,5.7,,73.98
138,J'étais à la maison.<br><br><br>,344,99.9,23.1,0.0,13.9,5.7,,73.97
139,J'ai peur de la mort.<br><br><br>,371,99.9,23.8,0.0,14.3,5.0,,73.97
140,Il écrit son journal.<br><br><br>,795,99.8,25.1,0.0,15.1,3.3,,73.97
141,C'est assez grand ?<br><br><br>,190,99.9,22.3,0.0,13.4,6.7,,73.96
142,Personne n'y va plus.<br><br><br>,312,100.0,23.9,0.0,14.3,5.0,,73.96
143,Je peux m'en sortir.<br><br><br>,445,99.9,23.1,0.0,13.9,5.7,,73.96
144,Vous avez été mon amie.<br><br><br>,386,99.7,25.5,0.0,15.3,2.9,,73.95
145,Ne soyez pas fou !<br><br><br>,506,99.5,21.3,0.0,12.8,6.7,,73.95
146,Tu as mangé ?<br><br><br>,264,99.2,17.6,0.0,10.6,10.0,,73.95
147,J'ai écrit le livre.<br><br><br>,432,99.9,23.1,0.0,13.9,5.7,,73.94
148,Vous devez venir.<br><br><br>,532,99.4,23.7,0.0,14.2,4.0,,73.94
149,Je pense souvent à eux.<br><br><br>,978,99.9,25.5,0.0,15.3,3.3,,73.94
150,Quelque chose a eu lieu.<br><br><br>,800,99.9,26.3,0.0,15.8,2.5,,73.94
151,Je vis au Japon.<br><br><br>,876,99.6,20.4,0.0,12.2,8.0,,73.93
152,Il a trois filles.<br><br><br>,477,99.9,22.3,0.0,13.4,6.7,,73.93
153,Tu dois me le dire.<br><br><br>,51,99.9,22.3,0.0,13.4,6.7,,73.93
154,Il ne s'en va pas.<br><br><br>,120,100.0,21.8,0.0,13.0,7.5,,73.92
155,Il n'en veut pas.<br><br><br>,147,100.0,20.8,0.0,12.4,8.6,,73.91
156,Elle vous regarde.<br><br><br>,547,99.9,24.9,0.0,14.9,4.0,,73.91
157,Il conduit très vite.<br><br><br>,853,99.6,25.1,0.0,15.1,3.3,,73.90
158,J'ai presque fini.<br><br><br>,807,99.8,22.3,0.0,13.4,6.7,,73.90
159,Je veux parler.<br><br><br>,100,99.9,21.2,0.0,12.8,8.0,,73.89
160,Je vais te montrer.<br><br><br>,687,99.8,23.2,0.0,13.9,5.7,,73.89
161,J'ai tenu ma langue.<br><br><br>,911,99.7,23.1,0.0,13.9,5.7,,73.88
162,Fais juste de ton mieux.<br><br><br>,189,99.9,26.3,0.0,15.8,2.9,,73.87
163,Où est ton frère ?<br><br><br>,156,99.9,21.3,0.0,12.8,8.0,,73.87
164,Comme vous voulez.<br><br><br>,303,99.8,24.9,0.0,14.9,4.0,,73.87
165,Viens si tu peux !<br><br><br>,81,99.9,21.3,0.0,12.8,8.0,,73.87
166,Il parle dix langues.<br><br><br>,971,99.6,25.1,0.0,15.1,3.3,,73.86
167,Je te comprends.<br><br><br>,295,99.8,22.5,0.0,13.5,6.7,,73.86
168,Elle doit rester ici.<br><br><br>,431,99.8,25.1,0.0,15.1,4.0,,73.86
169,Tu as essayé.<br><br><br>,497,99.6,18.8,0.0,11.3,10.0,,73.86
170,J'ai oublié mon sac.<br><br><br>,826,99.7,23.1,0.0,13.9,5.7,,73.85
171,Il est médecin.<br><br><br>,794,99.8,21.2,0.0,12.8,8.0,,73.83
172,Il a peur de son père.<br><br><br>,57,99.9,24.5,0.0,14.7,5.0,,73.82
173,Vous avez un problème ?<br><br><br>,68,99.9,26.1,0.0,15.6,3.3,,73.82
174,Je vous en prie !<br><br><br>,202,99.3,20.4,0.0,12.2,8.0,,73.82
175,Ne reviens jamais !<br><br><br>,714,99.3,24.9,0.0,14.9,3.3,,73.82
176,J'ai toujours été là.<br><br><br>,213,100.0,23.9,0.0,14.3,5.7,,73.82
177,Il joue bien au tennis.<br><br><br>,622,99.4,25.5,0.0,15.3,2.9,,73.82
178,Elle a l'air de venir.<br><br><br>,135,99.9,24.5,0.0,14.7,5.0,,73.81
179,Il m'a tout dit.<br><br><br>,59,100.0,20.0,0.0,12.0,10.0,,73.80
180,Tu dois être fou.<br><br><br>,608,99.7,21.3,0.0,12.8,8.0,,73.80
181,À qui est ce vélo ?<br><br><br>,209,99.7,21.5,3.0,14.1,5.7,,73.78
182,N'en parle à personne !<br><br><br>,191,99.9,24.7,0.0,14.8,5.0,,73.78
183,Il fait bon ce soir.<br><br><br>,227,99.9,23.1,0.0,13.9,6.7,,73.78
184,Il ne me parle jamais.<br><br><br>,19,99.9,24.7,0.0,14.8,5.0,,73.78
185,Il a été aimé de tous.<br><br><br>,245,99.8,24.5,0.0,14.7,5.0,,73.78
186,Il est plein aux as.<br><br><br>,319,99.9,23.1,0.0,13.9,6.7,,73.77
187,Il se sent très heureux.<br><br><br>,512,99.7,26.3,0.0,15.8,2.9,,73.77
188,C'est notre maison.<br><br><br>,421,99.9,23.2,0.0,13.9,6.7,,73.76
189,Je pris soin de son chat.<br><br><br>,434,99.6,26.6,0.0,15.9,2.5,,73.76
190,Je vais au travail.<br><br><br>,119,99.9,23.2,0.0,13.9,6.7,,73.76
191,Il a ouvert la porte.<br><br><br>,357,99.8,23.9,0.0,14.3,5.7,,73.76
192,Tu aurais dû le voir !<br><br><br>,326,99.8,23.9,0.0,14.3,5.7,,73.76
193,Elle pense être drôle ?<br><br><br>,724,99.8,26.1,0.0,15.6,3.3,,73.76
194,Il a une grosse voix.<br><br><br>,781,99.8,23.9,0.0,14.3,5.7,,73.75
195,Elle cuisine pour lui.<br><br><br>,499,99.8,26.1,0.0,15.6,3.3,,73.75
196,Il a lu le livre hier.<br><br><br>,285,99.8,24.5,0.0,14.7,5.0,,73.75
197,Pour qui tu te prends?<br><br><br>,215,99.8,24.7,3.0,16.0,2.9,,73.75
198,Je n'ai rien fait !<br><br><br>,15,100.0,21.5,0.0,12.9,8.6,,73.75
199,Il ne la veut pas.<br><br><br>,4,100.0,21.5,0.0,12.9,8.6,,73.75
200,Prends bien soin de toi.<br><br><br>,695,99.6,26.3,0.0,15.8,2.9,,73.75
201,C'est bon et c'est petit.<br><br><br>,185,100.0,24.3,0.0,14.6,5.7,,73.74
202,Ne me fais pas ça !<br><br><br>,1,100.0,21.5,0.0,12.9,8.6,,73.74
203,Ils m'ont laissé m'en aller.<br><br><br>,732,99.8,27.4,0.0,16.4,2.2,,73.74
204,Il n'y arrive pas.<br><br><br>,661,99.9,21.5,0.0,12.9,8.6,,73.74
205,Que ce pont est long !<br><br><br>,960,99.8,23.9,0.0,14.3,5.7,,73.73
206,Je connais ton visage.<br><br><br>,809,99.7,26.1,0.0,15.6,3.3,,73.73
207,Je suis perdu.<br><br><br>,143,99.9,20.0,0.0,12.0,10.0,,73.72
208,Il est aimé de tous.<br><br><br>,315,99.8,23.1,0.0,13.9,6.7,,73.72
209,Il doit être fatigué.<br><br><br>,470,99.2,25.1,0.0,15.1,3.3,,73.72
210,Il nous faut mieux faire.<br><br><br>,123,100.0,27.1,0.0,16.2,2.9,,73.72
211,Ce fut une mauvaise idée.<br><br><br>,533,99.8,27.1,0.0,16.2,2.5,,73.72
212,Il a eu l'air surpris.<br><br><br>,476,99.7,24.5,0.0,14.7,5.0,,73.72
213,Ce sont mes livres.<br><br><br>,260,99.8,23.2,0.0,13.9,6.7,,73.71
214,Quel est ton poste ?<br><br><br>,828,99.8,23.2,0.0,13.9,6.7,,73.71
215,Prends une chambre !<br><br><br>,552,99.7,26.1,0.0,15.6,3.3,,73.71
216,Tout le monde le sait.<br><br><br>,93,99.9,23.5,0.0,14.1,6.7,,73.71
217,Qui est en faute ?<br><br><br>,858,99.9,21.3,3.0,14.0,6.7,,73.71
218,Il a volé ma montre.<br><br><br>,570,99.3,23.1,0.0,13.9,5.7,,73.71
219,Va voir le médecin.<br><br><br>,660,99.8,23.2,0.0,13.9,6.7,,73.70
220,Ne dites mot à personne.<br><br><br>,805,99.7,26.3,0.0,15.8,3.3,,73.70
221,Elle est si jeune.<br><br><br>,323,99.9,22.3,0.0,13.4,8.0,,73.69
222,Je suis déjà pris.<br><br><br>,116,99.9,22.3,0.0,13.4,8.0,,73.69
223,Je sais où partir.<br><br><br>,329,99.9,22.3,0.0,13.4,8.0,,73.68
224,Qui sont vos parents ?<br><br><br>,194,99.9,25.1,3.0,16.3,2.9,,73.68
225,Le train vient de partir.<br><br><br>,304,99.9,27.1,0.0,16.2,2.9,,73.68
226,Où est ma voiture ?<br><br><br>,102,99.9,22.3,0.0,13.4,8.0,,73.67
227,Je suis ton frère.<br><br><br>,148,99.9,22.3,0.0,13.4,8.0,,73.67
228,Elle a peur de la nuit.<br><br><br>,129,99.9,25.2,0.0,15.1,5.0,,73.67
229,Il fait froid.<br><br><br>,668,99.7,20.0,0.0,12.0,10.0,,73.67
230,Il fait moins six.<br><br><br>,956,99.9,22.3,0.0,13.4,8.0,,73.67
231,Mon père est riche.<br><br><br>,888,99.7,23.2,0.0,13.9,6.7,,73.67
232,Tu ne seras jamais seul.<br><br><br>,586,99.5,26.3,0.0,15.8,2.9,,73.67
233,est très difficile.<br><br><br>,308,99.9,26.1,0.0,15.6,4.0,,73.66
234,Il est prêt à y aller.<br><br><br>,160,99.9,24.5,0.0,14.7,5.7,,73.66
235,Elle adore les fleurs.<br><br><br>,909,99.5,26.1,0.0,15.6,3.3,,73.66
236,La nuit était très calme.<br><br><br>,963,99.8,27.1,0.0,16.2,2.9,,73.65
237,La femme est prête.<br><br><br>,596,99.7,23.2,0.0,13.9,6.7,,73.64
238,Personne n'est en vue.<br><br><br>,491,99.9,24.7,0.0,14.8,5.7,,73.64
239,Je me rends chez moi.<br><br><br>,772,99.6,23.9,0.0,14.3,5.7,,73.63
240,Vous en avez eu assez.<br><br><br>,112,99.9,24.7,0.0,14.8,5.7,,73.63
241,C'est bon de te revoir !<br><br><br>,514,99.8,25.2,0.0,15.1,5.0,,73.62
242,Il nous faut y aller.<br><br><br>,73,99.9,23.9,0.0,14.3,6.7,,73.62
243,C'est ça l'amour ?<br><br><br>,733,99.9,20.8,0.0,12.4,10.0,,73.62
244,Il est grand et fort.<br><br><br>,104,99.9,23.9,0.0,14.3,6.7,,73.61
245,Vous avez été mon ami.<br><br><br>,145,99.9,24.7,0.0,14.8,5.7,,73.61
246,Mon père a un restaurant.<br><br><br>,930,99.7,27.1,0.0,16.2,2.9,,73.61
247,Elle a l'air en colère.<br><br><br>,486,99.8,25.2,0.0,15.1,5.0,,73.61
248,Je vais en cours en bus.<br><br><br>,562,99.8,24.6,0.0,14.8,5.7,,73.60
249,Elle est mon amie.<br><br><br>,518,99.7,22.3,0.0,13.4,8.0,,73.60
250,Il est bon de manger.<br><br><br>,85,99.9,23.9,0.0,14.3,6.7,,73.59
251,Ça a pris toute la journée.<br><br><br>,488,99.9,27.9,0.0,16.8,2.5,,73.59
252,Je connais cette fille.<br><br><br>,253,99.8,27.0,0.0,16.2,3.3,,73.59
253,Je serai dans ma chambre.<br><br><br>,351,99.7,27.1,0.0,16.2,2.9,,73.59
254,Il fait trop la fête.<br><br><br>,354,99.9,23.9,0.0,14.3,6.7,,73.58
255,Ne sois pas désolé !<br><br><br>,686,99.5,23.2,0.0,13.9,6.7,,73.57
256,Mon frère parle très vite.<br><br><br>,416,99.8,27.9,0.0,16.7,2.5,,73.57
257,Il a refusé de le voir.<br><br><br>,388,99.7,25.2,0.0,15.1,5.0,,73.57
258,Allez me chercher de l'eau !<br><br><br>,867,99.8,27.9,0.0,16.8,2.5,,73.56
259,Elle a l'air fatigué.<br><br><br>,415,99.4,23.9,0.0,14.3,5.7,,73.55
260,C'est on ne peut mieux.<br><br><br>,290,100.0,25.2,0.0,15.1,5.7,,73.55
261,Je ne l'ai pas vue.<br><br><br>,212,100.0,22.4,0.0,13.5,8.6,,73.55
262,Il vous faut me le dire.<br><br><br>,39,100.0,25.9,0.0,15.5,5.0,,73.55
263,C'est tellement bon.<br><br><br>,387,99.9,24.2,0.0,14.5,6.7,,73.55
264,Il y a une autre façon.<br><br><br>,612,99.9,25.2,0.0,15.1,5.7,,73.54
265,J'ai besoin de l'argent.<br><br><br>,609,99.9,25.9,0.0,15.5,5.0,,73.53
266,Je viens de le lui dire.<br><br><br>,86,99.9,25.9,0.0,15.5,5.0,,73.53
267,Je veux de la soupe.<br><br><br>,623,99.4,23.1,0.0,13.9,6.7,,73.53
268,Je suis sûr de son nom.<br><br><br>,255,99.9,25.2,0.0,15.1,5.7,,73.53
269,J'ai besoin de son aide.<br><br><br>,760,99.9,25.9,0.0,15.5,5.0,,73.53
270,Je fais encore mon marché.<br><br><br>,630,99.9,27.9,0.0,16.7,2.9,,73.53
271,Nous avons tout essayé.<br><br><br>,408,99.7,27.0,0.0,16.2,3.3,,73.51
272,Il est grand temps !<br><br><br>,53,100.0,23.2,0.0,13.9,8.0,,73.51
273,Vous avez l'air d'une fille.<br><br><br>,170,99.9,28.6,0.0,17.2,2.2,,73.51
274,Je suis très grand.<br><br><br>,41,100.0,23.2,0.0,13.9,8.0,,73.50
275,Elle a tout vu.<br><br><br>,101,100.0,19.4,0.0,11.7,12.0,,73.50
276,Il sera un bon professeur.<br><br><br>,417,99.8,27.9,0.0,16.7,2.9,,73.50
277,Il veut partir.<br><br><br>,407,99.9,21.2,0.0,12.8,10.0,,73.49
278,Il me l'a fait faire.<br><br><br>,7,100.0,23.8,0.0,14.3,7.5,,73.49
279,Je viens te chercher !<br><br><br>,500,99.8,25.1,0.0,15.1,5.7,,73.49
280,C'est ce livre.<br><br><br>,139,99.9,19.4,0.0,11.7,12.0,,73.49
281,Il sait ce qu'il fait.<br><br><br>,56,99.9,23.2,2.0,14.8,6.7,,73.48
282,Tu as un grand nez.<br><br><br>,966,99.7,22.3,0.0,13.4,8.6,,73.48
283,Je ne peux faire mieux.<br><br><br>,91,99.9,25.5,0.0,15.3,5.7,,73.48
284,Personne ne me croit.<br><br><br>,780,99.8,25.1,0.0,15.1,5.7,,73.47
285,"Tu veux cela, non ?<br><br><br>",137,99.9,21.3,3.0,14.0,8.0,,73.47
286,Nous avons beaucoup marché.<br><br><br>,811,99.9,30.8,0.0,18.5,0.0,,73.47
287,Il est plutôt beau.<br><br><br>,581,99.9,23.2,0.0,13.9,8.0,,73.47
288,Elle sait jouer du piano.<br><br><br>,986,99.4,27.1,0.0,16.2,2.9,,73.46
289,Elle n'a rien dit.<br><br><br>,183,100.0,21.5,0.0,12.9,10.0,,73.46
290,Vous êtes mes amis.<br><br><br>,370,99.9,23.2,0.0,13.9,8.0,,73.46
291,Regarde ce beau garçon.<br><br><br>,746,99.5,27.0,0.0,16.2,3.3,,73.46
292,Je dois lui parler.<br><br><br>,89,99.8,23.2,0.0,13.9,8.0,,73.45
293,Mon verre est plein.<br><br><br>,802,99.7,24.2,0.0,14.5,6.7,,73.45
294,Ils ont très peu pour vivre.<br><br><br>,306,99.9,28.6,0.0,17.2,2.5,,73.45
295,Tu ne peux pas arrêter.<br><br><br>,744,99.9,25.5,0.0,15.3,5.7,,73.45
296,Je ne me rappelle rien.<br><br><br>,325,99.9,25.5,0.0,15.3,5.7,,73.44
297,Je veux faire ceci.<br><br><br>,197,99.8,23.2,0.0,13.9,8.0,,73.44
