"english","arabic","transliteration"
"to know","عَرَفَ","arafa"
"to think","فَكَرَ","fakara"
"to smell","شَمَّ","shamma"
"to fear","خَافَ","khafa"
"to sleep","نَامَ","nama"
"to live","عَاشَ","asha"
"to die","مَاتَ","mata"
"to kill","قَتَلَ","qatala"
"to fight","قَاتَلَ","qatala"
"to hunt","صَادَ","sada"
"to hit","ضَرَبَ","daraba"
"to cut","قَطَعَ","qata'a"
"to split","شَقَّ","shaqqa"
"to stab","طَعَنَ","ta'ana"
"to scratch","خَدَشَ","khadasha"
"to dig","حَفَرَ","hafara"
"to swim","سَبَحَ","sabaha"
"to fly","طَارَ","tara"
"to walk","مَشَى","masha"
"to come","جَاءَ","ja'a"
"to lie down","رَقَدَ","raqada"
"to sit","جَلَسَ","jalasa"
"to stand","وَقَفَ","waqafa"
"to turn (intransitive)","دَارَ","dara"
"to fall","وَقَعَ","waqa'a"
"to give","أَعْطَى","a'ta"
"to hold","أَخَذَ","akhadha"
"to squeeze","عَصَرَ","asara"
"to rub","حَكَّ","hakka"
"to wash","غَسَلَ","ghasala"
"to wipe","مَسَحَ","masaha"
"to pull","جَرَّ","jarra"
"to push","دَفَعَ","dafa'a"
"to throw","رَمَى","rama"
"to tie","رَبَطَ","rabata"
"to sew","خَيَّطَ","khayyata"
"to count","عَدَّ","adda"
"to say","قَالَ","qala"
"to sing","غَنَّى","ghanna"
"to play","لَعِبَ","la'iba"
"to float","طَفَا","tafa"
"to flow","تَدَفَّقَ","tadaffaqa"
"to freeze","جَمَدَ","jamada"
"to swell","وَرِمَ","warima"
"sun","شَمْس","shams"
"moon","قَمَر","qamar"
"star","نَجْم","najm"
"water","مَاء","ma'"
"rain","مَطَر","matar"
"river","نَهْر","nahr"
"lake","بُحَيْرَة","buhayra"
"sea","بَحْر","bahr"
"salt","مِلْح","milh"
"stone","حَجَر","hajar"
"sand","رَمْل","raml"
"dust","غُبَار","ghubar"
"earth","أَرْض","ard"
"cloud","سَحَابَة","sahaba"
"fog","ضَبَاب","dabab"
"sky","سَمَاء","sama'"
"wind","رِيح","rih"
"snow","ثَلْج","thalj"
"ice","جَلِيد","jalid"
"smoke","دُخَان","dukhan"
"fire","نَار","nar"
"ash","رَمَاد","ramad"
"to burn","حَرَقَ","haraqa"
"road","طَرِيق","tariq"
"mountain","جَبَل","jabal"
"red","أَحْمَر","ahmar"
"green","أَخْضَر","akhdar"
"yellow","أَصْفَر","asfar"
"white","أَبْيَض","abyad"
"black","أَسْوَد","aswad"
"night","لَيْل","layl"
"day","يَوْم","yawm"
"year","سَنَة","sana"
"warm","دَافِئ","dafi'"
"cold","بَارِد","barid"
"full","مُمْتَلِئ","mumtali'"
"new","جَدِيد","jadid"
"old","قَدِيم","qadim"
"good","جَيِّد","jayyid"
"bad","سَيِّئ","sayyi'"
"rotten","فَاسِد","fasid"
"dirty","وَسِخ","wasikh"
"straight","مُسْتَقِيم","mustaqim"
"round","مُسْتَدِير","mustadir"
"sharp","حَادّ","hadd"
"dull","كَلِيل","kalil"
"smooth","نَاعِم","na'im"
"wet","رَطْب","ratb"
"dry","جَافّ","jaff"
"correct","صَحِيح","sahih"
"near","قَرِيب","qarib"
"far","بَعِيد","ba'id"
"right","يَمِين","yamin"
"left","يَسَار","yasar"
"at","عِنْد","ind"
"in","فِي","fi"
"with","مَع","ma'"
"and","وَ","wa"
"if","إِن","in"
"because","لِأَنَّ","li'anna"
"name","اِسْم","ism"
